name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Homecute Foldable Portable Pop up Cloth Changing Tent or Toilet Tent for Camping Hiking and Picnic (Army Green),sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91+p733egDL._AC_UL320_.jpg,https://www.amazon.in/Homecute-Foldable-Portable-Changing-Camping/dp/B0BSCJN5D3/ref=sr_1_241?qid=1679217511&s=sports&sr=1-241,4.7,7,"₹1,424","₹2,999"
Futurekart Portable Collapsible Water Storage Tank Water Container Water Carrier Lifting Bag Camping Hiking Survival Kit T...,sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Ekdm2DuRS._AC_UL320_.jpg,https://www.amazon.in/Futurekart-Portable-Collapsible-Container-Survival/dp/B07VZMQRBQ/ref=sr_1_242?qid=1679217511&s=sports&sr=1-242,4.1,299,₹259,"₹1,599"
"High Strength Elastic Nylon and Polyester Bungee/Shock Cord Cables, Luggage Tying Rope with Hooks (Multicolour) - Set of 8",sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XEo8fnijL._AC_UL320_.jpg,https://www.amazon.in/Strength-Elastic-Polyester-Luggage-Multicolour/dp/B08BLW4G4Q/ref=sr_1_243?qid=1679217511&s=sports&sr=1-243,3.5,31,₹189,₹599
FATMUG Packing Cubes/Travel Pouch/Bagpack Suitcase Organiser Set of 4 - Small Size - Black,sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81SYKTUgCyL._AC_UL320_.jpg,https://www.amazon.in/FATMUG-Packing-Bagpack-Suitcase-Organiser/dp/B07M73RLSC/ref=sr_1_244?qid=1679217511&s=sports&sr=1-244,4.0,216,₹629,₹799
"Coolzon Lightweight Backpacking Sleeping Bag for Adults Boys and Girls, Cold Weather Kids Sleeping Bag for All Season Hiki...",sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61vgE7g7RaL._AC_UL320_.jpg,https://www.amazon.in/Coolzon-Lightweight-Backpacking-Sleeping-Weather/dp/B082R6KJJ7/ref=sr_1_245?qid=1679217511&s=sports&sr=1-245,4.5,"7,430","₹1,650","₹6,935"
"MUTMAIN 100% Waterproof 80L to 100L Rain Cover for Backpack Bags, Rainproof Dustproof Protector Raincover Elastic Adjustab...",sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41wcMy9OpUL._AC_UL320_.jpg,https://www.amazon.in/MUTMAIN-Waterproof-Rainproof-Adjustable-BP-80TO100L/dp/B0B2LLTWNH/ref=sr_1_246?qid=1679217511&s=sports&sr=1-246,4.1,73,₹349,₹899
"Carbonado EVA Hard Shell Protective Tech/Gadget Portable Organiser, Multi-Purpose Pouch and Travel Accessory",sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61NMzb90NmL._AC_UL320_.jpg,https://www.amazon.in/Carbonado-Protective-Organiser-Multi-Purpose-Accessory/dp/B0B4P972S3/ref=sr_1_247?qid=1679217511&s=sports&sr=1-247,4.7,19,"₹1,225","₹1,290"
"AmazonBasics Waist Pouch Bag with adjustable strap, 2L, Grey",sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/9195HAWMFML._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Waist-Pouch-adjustable-strap/dp/B07FQBGNMC/ref=sr_1_248?qid=1679217511&s=sports&sr=1-248,4.3,137,₹502.46,"₹1,500"
Aristocrat 65 Ltrs Red Rucksack (RSHIK65LRED),sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91gU5rEkzpL._AC_UL320_.jpg,https://www.amazon.in/Aristocrat-Ltrs-Red-Rucksack-RSHIK65LRED/dp/B085HBJJCR/ref=sr_1_249?qid=1679217511&s=sports&sr=1-249,3.6,92,"₹2,479","₹5,500"
"Glowbase New Rechargeable headlight with 180 azimuth adjustment portable lightweight head lamp, Rechargeable Headlamp long...",sports & fitness,Camping & Hiking,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41f3q2tJLSL._AC_UL320_.jpg,https://www.amazon.in/Rechargeable-headlight-adjustment-lightweight-Lithium-ion/dp/B09W2MY4MY/ref=sr_1_250?qid=1679217511&s=sports&sr=1-250,3.9,155,₹399,₹999
