name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
INNOVQARAJ Bike Ind Number Plate with Standard Size Frame,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/81Q7MqWfNML._AC_UL320_.jpg,https://www.amazon.in/Bike-Number-Plate-Front-Frame/dp/B07PX8JKVC/ref=sr_1_97?qid=1679222230&s=automotive&sr=1-97,4.3,170,₹470,"₹1,200"
Lukzer 2PC Car Back Pain Relief Lower Back Support for Chair Orthopedic Sciatica Pain Relief Lumbar Back Rest/Men Women Ve...,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/8176B7ainaL._AC_UL320_.jpg,https://www.amazon.in/Lukzer-Ventilation-Lumbar-Support-Cushion/dp/B07TCPVFP1/ref=sr_1_98?qid=1679222230&s=automotive&sr=1-98,3.6,741,₹375,₹699
MANKY Car USB Atmosphere Ambient Star Light car interior lights LED decorative armrest box car roof full star projection l...,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/71pCHMvbPYL._AC_UL320_.jpg,https://www.amazon.in/MANKY-Atmosphere-decorative-projection-atmosphere/dp/B08Q4CW69J/ref=sr_1_99_mod_primary_new?qid=1679222230&s=automotive&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-99,2.5,43,₹159,₹300
Allextreme EXT15CW Universal T10 LED Parking Light 5630 CMD Super Bright Interior Pilot License Plate Dome Indicator Lamp ...,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/61I3P4H1kqL._AC_UL320_.jpg,https://www.amazon.in/AllExtreme-EXT15CW-Universal-Indicator-Motorcycle/dp/B07FCCVL4J/ref=sr_1_100?qid=1679222230&s=automotive&sr=1-100,4.0,"1,411",,₹135
"Bosch 3397006509E7W/3397016583KTS Clear Advantage 24-CA Front Wind Shield Wiper Blade for Cars, 24""",car & motorbike,Car Parts,https://m.media-amazon.com/images/I/51CEd2zKZ5L._AC_UL320_.jpg,https://www.amazon.in/Bosch-3397006509E7W-Clear-Advantage-Shield/dp/B01H078CNM/ref=sr_1_101?qid=1679222230&s=automotive&sr=1-101,4.3,819,₹499,₹515
"Car Fan, Mini USB Fan for Car Air Vent Mounted, 3 Speeds Car Vent Fan with RGB Lighting & Clip, 90°Auto Oscillation & 360°...",car & motorbike,Car Parts,https://m.media-amazon.com/images/I/81xgreJO2oL._AC_UL320_.jpg,https://www.amazon.in/Car-Lighting-Oscillation-360%C2%B0Rotatable-Vehicles/dp/B0BQYNMR1J/ref=sr_1_102?qid=1679222230&s=automotive&sr=1-102,4.5,15,"₹1,259","₹4,999"
"GEAR GUARD - GIVE LIFE TO YOUR DEVICE Hyundai New Creta 2020, SX SX O Auto, Accessories Infotainment System Unbreakable Sc...",car & motorbike,Car Parts,https://m.media-amazon.com/images/I/71+Wua6WbdL._AC_UL320_.jpg,https://www.amazon.in/GEAR-GUARD-Accessories-Infotainment-Unbreakable/dp/B08P3PDC4D/ref=sr_1_103?qid=1679222230&s=automotive&sr=1-103,4.2,790,₹349,₹999
Bosch Eco Wiper Blade 3397010053 - 21 Inches and 19 inches Wiper Blades for Passenger Cars - Set of 2,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/41pvwx9zEiL._AC_UL320_.jpg,https://www.amazon.in/Bosch-3397010053-Performance-Replacement-Wiper/dp/B00P21L4EI/ref=sr_1_104?qid=1679222230&s=automotive&sr=1-104,3.9,"1,560",,₹444
AllExtreme EXDL16G 16 LED Universal Car Interior Super Bright Roof Light Reading Dome Bulb Lamp with Festoon Holder (1 PC),car & motorbike,Car Parts,https://m.media-amazon.com/images/I/611-2MnxMvL._AC_UL320_.jpg,https://www.amazon.in/AllExtreme-EXDL16G-Parking-Interior-Motorcycle/dp/B07NPMZSDK/ref=sr_1_105?qid=1679222230&s=automotive&sr=1-105,3.8,455,,₹135
"ELTRON TURBO ELT5412X20 Original Imported 12V DC Power 15 LED Fog Light, Waterproof Head Lamp, Bar Light Universal For All...",car & motorbike,Car Parts,https://m.media-amazon.com/images/I/81isG7OKmSL._AC_UL320_.jpg,https://www.amazon.in/LED-Fog-Light-Waterproof-Lamp/dp/B09WJ69SLJ/ref=sr_1_106?qid=1679222230&s=automotive&sr=1-106,3.3,145,₹280,₹999
Allextreme EXT10M2P T10 RGB Car Interior Parking Bulb 6SMD Multicolour Light with Wireless Remote Control Ideal for Car De...,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/71zLnUGJcgL._AC_UL320_.jpg,https://www.amazon.in/AllExtreme-Interior-Multicolour-Changing-Wireless/dp/B075CHWXJV/ref=sr_1_107?qid=1679222230&s=automotive&sr=1-107,2.8,114,,₹199
CLOUDSALE ; Your Store. Your Place Car Accessories Car Interior Ornament Touch Type Night Light Car Roof Ceiling Magnet La...,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/41uUUypGCfL._AC_UL320_.jpg,https://www.amazon.in/CLOUDSALE-Your-Store-Place-Accessories/dp/B09B431Q1T/ref=sr_1_108?qid=1679222230&s=automotive&sr=1-108,3.4,251,₹610,₹999
ELTRON TURBO ELT9895IOJJ Waterproof Sequential Flow Universal DC Power Ultra-Fine 60cm DRL | Daytime Running Light | Flexi...,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/51yQmxo69ZL._AC_UL320_.jpg,https://www.amazon.in/ELTRON-TURBO-Waterproof-Sequential-Flow/dp/B0BHWKPHH5/ref=sr_1_109?qid=1679222230&s=automotive&sr=1-109,3.5,38,₹359,"₹1,899"
AutoBizarre 3 Meter AC Vent/Car Edges Chrome Styling Edge Guard,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/410Tht+UjHL._AC_UL320_.jpg,https://www.amazon.in/AutoBizarre-Meter-Edges-Chrome-Styling/dp/B086FPLWRP/ref=sr_1_110?qid=1679222230&s=automotive&sr=1-110,3.0,856,₹199,₹999
"Automaze Universal Fit Car Exhaust Tail Muffler Tip Show Pipe 60mm, Curved Oval, Stainless Steel",car & motorbike,Car Parts,https://m.media-amazon.com/images/I/51uSTEr1wUL._AC_UL320_.jpg,https://www.amazon.in/Automaze-Universal-Exhaust-Muffler-Stainless/dp/B07Y5C6TQ7/ref=sr_1_111?qid=1679222230&s=automotive&sr=1-111,3.8,757,₹475,₹700
LF Digital Console Protector Compatible with Suzuki Burgman | Access Street 125 Accessories - Clear (Pack of 1),car & motorbike,Car Parts,https://m.media-amazon.com/images/I/71VfG8aFGyL._AC_UL320_.jpg,https://www.amazon.in/LF-Digital-Protector-Compatible-Accessories/dp/B09BNRPKZ4/ref=sr_1_112?qid=1679222230&s=automotive&sr=1-112,2.9,255,₹249,₹499
AutoBizarre High Gloss Black Carbon Fiber Style Anti-Scratch Edge Guard Step Decoration Waterproof Tape - 5cm x 500cm,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/51dSM4dHasL._AC_UL320_.jpg,https://www.amazon.in/AutoBizarre-Carbon-Anti-Scratch-Decoration-Waterproof/dp/B08VNW232V/ref=sr_1_113?qid=1679222230&s=automotive&sr=1-113,3.9,92,₹399,"₹1,999"
Auto Oprema Microfiber Leather Auto Car Steering Wheel Cover Universal 15 inch (Dark Black),car & motorbike,Car Parts,https://m.media-amazon.com/images/I/71OPUiinigL._AC_UL320_.jpg,https://www.amazon.in/Auto-Oprema-Microfiber-Dark-Black/dp/B0BGQS1KDY/ref=sr_1_114?qid=1679222230&s=automotive&sr=1-114,4.1,"2,673",₹345,₹799
XDER Metal Bike Number Plate Frame (Front and Back) (Black),car & motorbike,Car Parts,https://m.media-amazon.com/images/I/51D3eTWSgHL._AC_UL320_.jpg,https://www.amazon.in/XDER-Metal-Number-Plate-Frame/dp/B09RW57W6G/ref=sr_1_115?qid=1679222230&s=automotive&sr=1-115,4.4,118,₹185,₹499
Silicone Sucker Nagpal Anti Scratch Door Edge Rubber Guard Buffer Protectors for Cars - Original Type Door Guard for All C...,car & motorbike,Car Parts,https://m.media-amazon.com/images/I/31ZPN5V68+L._AC_UL320_.jpg,https://www.amazon.in/Silicone-Sucker-Nagpal-Scratch-Protectors/dp/B08Z65MRB8/ref=sr_1_116?qid=1679222230&s=automotive&sr=1-116,4.1,422,₹240,"₹1,299"
AutoClean Teflon Coated Rear Wiper Arm With Blade Polo (Washer Tablet Free),car & motorbike,Car Parts,https://m.media-amazon.com/images/I/41mdQfNpcqL._AC_UL320_.jpg,https://www.amazon.in/AutoClean-Teflon-Coated-Wiper-Volkswagen/dp/B081NQT5XL/ref=sr_1_117?qid=1679222230&s=automotive&sr=1-117,4.3,203,₹369,₹990
"Automaze U Shape Edge Trim Rubber Strip Seal Protector Car Door Edge Guards for Most Cars (16 ft/5 m, Black)",car & motorbike,Car Parts,https://m.media-amazon.com/images/I/71GNbG8NqaL._AC_UL320_.jpg,https://www.amazon.in/Automaze-Shape-Rubber-Protector-Guards/dp/B083SPLJZD/ref=sr_1_118?qid=1679222230&s=automotive&sr=1-118,4.1,"1,225",₹499,"₹1,050"
