name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"AGARO Spark Motorized 1.5 Hp Folding Treadmill with 100 Kgs Max User Weight, 12 Automatic Workout Programs with Built-in S...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/81yOBp29AhL._AC_UL320_.jpg,https://www.amazon.in/AGARO-Motorized-Treadmill-Automatic-Programs/dp/B08HZBPVP4/ref=sr_1_145?qid=1679218166&s=sports&sr=1-145,4.6,325,"₹16,999","₹40,990"
"Voroly Portable Under Desk Bike Pedal Exerciser Cycle for Adults & Seniors Physical Therapy Workout Equipment (VR-30ABC, B...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51glnFTMYOL._AC_UL320_.jpg,https://www.amazon.in/Voroly-Portable-Exerciser-Adjustable-Resistance/dp/B07RB9F1VT/ref=sr_1_146?qid=1679218166&s=sports&sr=1-146,3.9,332,"₹1,795","₹2,999"
Dolphy Rowing Machine Indoor Rower Exercise Machine with 12 Gear Adjustable Resistance | Digital Monitor for Home Gyms Fit...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61nOcICjUnL._AC_UL320_.jpg,https://www.amazon.in/Machine-Exercise-Adjustable-Resistance-Training/dp/B09NDRK175/ref=sr_1_147?qid=1679218166&s=sports&sr=1-147,4.8,9,"₹10,499","₹19,999"
"FITTYFY INALSA Spin Bike Exercise Bike FFSB 06 with 6Kg Flywheel| Adjustable Resistance, Heart Rate Sensor| Bottle & Bottl...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/617ZvbimiSL._AC_UL320_.jpg,https://www.amazon.in/Exercise-Flywheel-Adjustable-Resistance-FITTYFY/dp/B09FGQD31F/ref=sr_1_148?qid=1679218166&s=sports&sr=1-148,3.8,23,"₹8,899","₹29,999"
Cardio Max JSB HF145 Desk Cycle Pedal Exerciser Mini Bike with Digital Display,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61Fof-X0MqL._AC_UL320_.jpg,https://www.amazon.in/Cardio-Max-Exerciser-Digital-Display/dp/B07PBBQS57/ref=sr_1_149?qid=1679218166&s=sports&sr=1-149,3.3,15,"₹2,499","₹2,950"
Zorex HGZ-1002 Home Gym Machine All in one equipments for Men Workout Machine Chest Biceps Shoulder Back Triceps Legs Musc...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71vMcnwAxOL._AC_UL320_.jpg,https://www.amazon.in/Zorex-HGZ-1002-Equipments-Exercises-Multicolor/dp/B09HKJNZ8F/ref=sr_1_150?qid=1679218166&s=sports&sr=1-150,3.8,65,"₹15,247","₹23,490"
"Dolphy Fitness Stair Stepper with LCD Monitor, Portable Twist Stair Stepper Household Hydraulic Mute Stepper for Home Gym",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51gvbyu7rXL._AC_UL320_.jpg,https://www.amazon.in/Fitness-Resistance-Portable-Household-Hydraulic/dp/B0B6F9Y97X/ref=sr_1_151?qid=1679218166&s=sports&sr=1-151,4.4,3,"₹4,999","₹9,999"
"LETSPLAY® Indoor Upright Exercise Bike with Matt Black Frame Handlebar Aluminum Pedals Ergonomic Seat for Home, Workout & ...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51CsslvCk7L._AC_UL320_.jpg,https://www.amazon.in/LETSPLAY%C2%AE-Exercise-Handlebar-Aluminum-Ergonomic/dp/B0BJ7PB3LR/ref=sr_1_152?qid=1679218166&s=sports&sr=1-152,4.3,217,"₹11,999","₹29,999"
"Fitmen Treadmill Magnetic Safety Key for All Type Tread Mill, Model No TMSK07.",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/81-SZrpnZaL._AC_UL320_.jpg,https://www.amazon.in/Fitmen-Treadmill-Magnetic-Safety-TMSK07/dp/B08BHHGSX2/ref=sr_1_153?qid=1679218166&s=sports&sr=1-153,3.8,24,₹275,₹550
BIONFIT ON05M Patented Air Bike Exercise cycle with attached Resistance Tube & Moving Handles & Abs Twister+Back Support S...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71HdQzFtVoL._AC_UL320_.jpg,https://www.amazon.in/BIONFIT-Patented-Resistance-Full-Body-Fitness/dp/B0BX9ZBGTT/ref=sr_1_154?qid=1679218166&s=sports&sr=1-154,,,,
