name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Lychee bags Canvas Katie Sling for Girls (Purple),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/91rjlJKX+pL._AC_UL320_.jpg,https://www.amazon.in/Lychee-Womens-Sling-Beige-Lbhbcp19Po/dp/B017ETLNMS/ref=sr_1_241?qid=1679212573&s=apparel&sr=1-241,3.6,148,₹490,"₹1,199"
Redlicchi Women's PU Casual Purse Fashion School Leather Backpack Shoulder Bag Mini Backpack for Women & Girls,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/61A7ASO2KBL._AC_UL320_.jpg,https://www.amazon.in/Redlicchi-Fashion-Leather-Backpack-Shoulder/dp/B07BF9CBSJ/ref=sr_1_242?qid=1679212573&s=apparel&sr=1-242,3.3,95,₹329,₹999
Vivinkaa Star Red Canvas Sling Bag for Women,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/71RWb7VerZL._AC_UL320_.jpg,https://www.amazon.in/Vivinkaa-Womens-Sling-Bag-Red/dp/B01B0KIGNQ/ref=sr_1_243?qid=1679212573&s=apparel&sr=1-243,3.8,105,₹379,₹899
CLASSIC FASHION Women's Handbag With Wallet (Set of 2) (CFSN43_Multicolored),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/81rEsZWk3ML._AC_UL320_.jpg,https://www.amazon.in/Classic-Fashion-Black-Handbag-Wallet/dp/B079WKZ8N7/ref=sr_1_244?qid=1679212573&s=apparel&sr=1-244,3.4,41,₹999,"₹6,599"
Butterflies Synthetic Women's Wallet,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/51OWXmvqjnL._AC_UL320_.jpg,https://www.amazon.in/Butterflies-Womens-Wallet-BNS-2040/dp/B00IJ8CKBW/ref=sr_1_245?qid=1679212573&s=apparel&sr=1-245,4.2,731,₹399,"₹1,299"
"H&B Jute Waterproof Lunch Bag for Men and Women, 11x9x6-inches(Multicolour)",stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/71thFs3HyyL._AC_UL320_.jpg,https://www.amazon.in/Waterproof-Lunch-Women-11x9x6-inches-Multicolour/dp/B06XWBBM66/ref=sr_1_246?qid=1679212573&s=apparel&sr=1-246,3.5,28,₹299,₹899
Diana Korr Myra Women's Handbag (Blue) (DK29HBLU),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/A10A4kQIikL._AC_UL320_.jpg,https://www.amazon.in/Diana-Korr-Womens-Handbags-Blue/dp/B019OC4YBA/ref=sr_1_247?qid=1679212573&s=apparel&sr=1-247,3.4,74,"₹2,051","₹3,999"
Diana Korr Women's Handbag (Beige) (DK26HAPR),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/71j73V2WMUL._AC_UL320_.jpg,https://www.amazon.in/Diana-Korr-Womens-Handbag-DK26HAPR/dp/B00U2IF8M0/ref=sr_1_248?qid=1679212573&s=apparel&sr=1-248,3.9,59,"₹2,051","₹3,999"
Hidesign Women's Wallet (White and M Blue),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/71R16cIAhHL._AC_UL320_.jpg,https://www.amazon.in/Hidesign-Womens-Wallet-White-Blue/dp/B07BSV8FTM/ref=sr_1_249?qid=1679212573&s=apparel&sr=1-249,4.4,24,"₹1,979","₹3,595"
Under Armour Men's Hockey Liner Socks (1 Pair),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/817vAPTNVTL._AC_UL320_.jpg,https://www.amazon.in/Under-Armour-Hockey-Liner-Medium/dp/B003RZ8H96/ref=sr_1_250?qid=1679212573&s=apparel&sr=1-250,4.0,20,,"₹3,950"
DUCHESS Women's Black Box Clutch,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/81UwI0OWD6L._AC_UL320_.jpg,https://www.amazon.in/DUCHESS-Womens-Rose-Gold-Clutch/dp/B01APAOV7M/ref=sr_1_251?qid=1679212573&s=apparel&sr=1-251,3.5,67,₹347,"₹2,199"
Lorna Premium PU Leather Girl's/Women's Handbag And Wallet Clutch Combo (Peach Color),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/41lStNXWKyL._AC_UL320_.jpg,https://www.amazon.in/Lorna-Premium-Leather-Womens-Handbag/dp/B075F8M7T1/ref=sr_1_252?qid=1679212573&s=apparel&sr=1-252,3.4,63,₹599,"₹1,499"
Caprese Austria Satchel Large Burgundy,stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/61TDeKw6V+L._AC_UL320_.jpg,https://www.amazon.in/Caprese-Austria-Womens-Satchel-Burgundy/dp/B07G1B9Z7Q/ref=sr_1_253?qid=1679212573&s=apparel&sr=1-253,3.8,21,"₹2,190","₹4,999"
"Fristo Women's Handbag (FRB-031, Pink and Blue)",stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/61Qn1d1sM1L._AC_UL320_.jpg,https://www.amazon.in/Fristo-Womens-Handbag-FRB-031-Pink/dp/B01MS0JOI2/ref=sr_1_254?qid=1679212573&s=apparel&sr=1-254,3.8,57,₹699,"₹2,399"
Diana Korr Women's Handbag (Grey),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/51RI6xwW-IL._AC_UL320_.jpg,https://www.amazon.in/Diana-Korr-Womens-Handbag-Grey/dp/B07CBDRMZ8/ref=sr_1_255_mod_primary_new?qid=1679212573&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-255,3.5,31,"₹1,999","₹3,599"
Flora Women's Clutch (Set of 2) (FLORA-092_Red),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/71CGTE-2jwL._AC_UL320_.jpg,https://www.amazon.in/Flora-Premium-Leather-Womens-Wallet/dp/B072JHN773/ref=sr_1_256?qid=1679212573&s=apparel&sr=1-256,3.8,42,₹325,"₹1,099"
Mango Star Stylish And Trendy Shoulders Hand Beg With Combo Offer PU Leather Material For Women's (Black),stores,Fashion Sales & Deals,https://m.media-amazon.com/images/I/81GuteVZDML._AC_UL320_.jpg,https://www.amazon.in/Mango-Premium-Leather-Womens-Handbag/dp/B07DDLN1MT/ref=sr_1_257?qid=1679212573&s=apparel&sr=1-257,3.2,47,₹448,"₹1,299"
