name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Puma Women's Glam WNS Sport Sandal,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/51cVFnTFCSL._AC_UL320_.jpg,https://www.amazon.in/Puma-Womens-Glam-Lotus-Silver-Sandal/dp/B0BMVM98DY/ref=sr_1_241?qid=1679211656&s=shoes&sr=1-241,4.5,2,"₹1,829","₹2,999"
Luxyfeel Fashion Sandal for Girls and Women | Flat Sandal for women & Girls | Stylish Sandal for Women & Girls,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/51IBSgyvAKL._AC_UL320_.jpg,https://www.amazon.in/Luxyfeel-Fashion-Sandal-Girls-Women/dp/B0BC28WJJJ/ref=sr_1_242?qid=1679211656&s=shoes&sr=1-242,3.8,44,₹549,"₹1,499"
STRASSE PARIS Amazing Design Women's & Girls Transparent Block Heels Sandal Stylish and Fashionable| Stylish Latest & Tren...,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/616TZINkHaL._AC_UL320_.jpg,https://www.amazon.in/STRASSE-PARIS-Transparent-Heels-Fashionable/dp/B0BDL5B22V/ref=sr_1_243?qid=1679211656&s=shoes&sr=1-243,4.5,2,₹636,"₹1,899"
Mochi Women White Wedge Heel Slip-on UK/5 EU/38 (34-123),women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/51nDP-iEI6L._AC_UL320_.jpg,https://www.amazon.in/Mochi-Women-White-Wedge-34-123/dp/B0BQ3V35JG/ref=sr_1_244?qid=1679211656&s=shoes&sr=1-244,5.0,1,"₹1,194","₹1,990"
Catwalk Women's Fashion UK EU US 3882,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/712tmgiNOnL._AC_UL320_.jpg,https://www.amazon.in/Catwalk-Womens-Fashion-Sandals-7-3882BX-7/dp/B07JKTYMDV/ref=sr_1_245?qid=1679211656&s=shoes&sr=1-245,3.7,114,₹899,"₹2,195"
IMPOINT Women's Patent Slip-On High Heel Sandals,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/71izz41IS3L._AC_UL320_.jpg,https://www.amazon.in/IMPOINT-Womens-Black-Patent-Sandals/dp/B0BB38N54Y/ref=sr_1_246?qid=1679211656&s=shoes&sr=1-246,3.5,35,,₹395
BATA Women's Gia Sandal,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/61r9a2L0K3S._AC_UL320_.jpg,https://www.amazon.in/Womens-Ballerina-Beige-Sandal-6-5618889/dp/B095X2S11S/ref=sr_1_247?qid=1679211656&s=shoes&sr=1-247,3.8,38,₹601,"₹1,299"
Do Bhai Women Material Synthtic Stylish Pointed Toe Fashion Heel Sandal - Heena,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/811cJLn4KOL._AC_UL320_.jpg,https://www.amazon.in/Do-Bhai-Material-Synthtic-Color-Black/dp/B08W9GW7FP/ref=sr_1_248?qid=1679211656&s=shoes&sr=1-248,3.8,151,₹599,₹999
Catwalk Women's Brown Fashion Sandals,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/71Kfvcw+LDL._AC_UL320_.jpg,https://www.amazon.in/Catwalk-Leather-Fashion-Sandals-5-3945Br-5/dp/B07MXLG9KT/ref=sr_1_249?qid=1679211656&s=shoes&sr=1-249,3.8,144,₹899,"₹2,259"
ZAPATOZ Women's/Girls Casual Pink Stylish Latest Party/Casual Heel Sandals,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/61kaDcgljWL._AC_UL320_.jpg,https://www.amazon.in/ZAPATOZ-Womens-Stylish-Sandals-Numeric_7/dp/B09TR5ZN7Z/ref=sr_1_250?qid=1679211656&s=shoes&sr=1-250,3.3,197,₹815,"₹2,999"
crocs Unisex-Adult Classic Slipper,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/714b0aLuzyL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Classic-Slipper-207446-612/dp/B09NMCH3Y1/ref=sr_1_251?qid=1679211656&s=shoes&sr=1-251,4.6,391,,
Fashion Box Latest Block Heel Sandal Collection for Women,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/41Kes88i-QL._AC_UL320_.jpg,https://www.amazon.in/Fashion-Box-Latest-Sandal-Collection/dp/B08H4TJTLZ/ref=sr_1_252?qid=1679211656&s=shoes&sr=1-252,3.6,249,₹499,₹849
Picktoes Trendy block heels sandal for women and girls,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/51Wbanb38DL._AC_UL320_.jpg,https://www.amazon.in/Trendy-block-heels-sandal-women/dp/B09DSVLSFW/ref=sr_1_253?qid=1679211656&s=shoes&sr=1-253,3.9,111,₹499,"₹1,199"
XE Looks Doctor Sole Comfortable Tan Flats Sandals For Women 1.5 Inch Heel,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/71+TfUwfYwL._AC_UL320_.jpg,https://www.amazon.in/XE-Looks-Doctor-Comfortable-Sandals/dp/B07WLNHF7F/ref=sr_1_254?qid=1679211656&s=shoes&sr=1-254,3.8,631,₹648,₹999
BATA Womens EDEN SANDAL Grey Heels,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/51KkAYiHu2L._AC_UL320_.jpg,https://www.amazon.in/BATA-Women-Sandal-Sandals-6612133/dp/B09MTJDM32/ref=sr_1_255?qid=1679211656&s=shoes&sr=1-255,4.0,46,₹959,"₹1,499"
Mochi Women Synthetic Women Sandals (32-503),women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/716nIOsn+XL._AC_UL320_.jpg,https://www.amazon.in/Mochi-Womens-Fashion-Slippers-8-32-503/dp/B084ZH8Y6H/ref=sr_1_256?qid=1679211656&s=shoes&sr=1-256,4.0,162,"₹1,014","₹1,690"
Metro Women's 32-998 Fashion Sandals,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/61pwKBqYDUL._AC_UL320_.jpg,https://www.amazon.in/Metro-Womens-Outdoor-Sandals-32-998/dp/B0843QF4QC/ref=sr_1_257?qid=1679211656&s=shoes&sr=1-257,3.7,293,₹709,"₹1,290"
Adidas Women's Distincto W Sandal,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/61d1o37DjhL._AC_UL320_.jpg,https://www.amazon.in/Adidas-Womens-DISTINCTO-Sandal-GB2602/dp/B09N3FRPRN/ref=sr_1_258?qid=1679211656&s=shoes&sr=1-258,5.0,1,₹899,"₹1,799"
Puma Unisex-Adult Popcat Chrome Slides,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/41j+DY9544L._AC_UL320_.jpg,https://www.amazon.in/Puma-36728501-Popcat-Chrome/dp/B07F3V8VWY/ref=sr_1_259?qid=1679211656&s=shoes&sr=1-259,3.8,35,"₹1,129","₹2,499"
MYRA Women's Yellow Solid Toe-ring Casual Heel Wedges | Ladies Platform Wedges Chappal - MS1183C,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/71TtzTV-ESS._AC_UL320_.jpg,https://www.amazon.in/Myra-Redwood-One-Toe-Ankle-Strap-Sandals/dp/B08HLYQVJK/ref=sr_1_260?qid=1679211656&s=shoes&sr=1-260,3.3,"1,001",₹699,₹899
BATA Women's Deva Thong E Heeled Sandal,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/61UzryreQ6L._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Thong-Flats-6716070/dp/B0B1Q7NBBQ/ref=sr_1_261?qid=1679211656&s=shoes&sr=1-261,3.7,26,₹827,"₹1,199"
BATA Women's Wedge Mule Slipper,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/71j6T7rT08L._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Wedge-Slipper-5-6714293/dp/B0B51KM783/ref=sr_1_262?qid=1679211656&s=shoes&sr=1-262,3.0,1,₹581.71,"₹1,099"
Metro Women Synthetic Sandals (34-9824),women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/6150a-oj1GL._AC_UL320_.jpg,https://www.amazon.in/Metro-Womens-Fashion-Slippers-6-34-9824/dp/B083MV69YD/ref=sr_1_263?qid=1679211656&s=shoes&sr=1-263,3.6,180,"₹1,369","₹2,490"
Denill Women's Beige Sandal,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/41FwAJmgexS._AC_UL320_.jpg,https://www.amazon.in/Denill-Comfortable-Block-Heels-Womens/dp/B07QNJP5L5/ref=sr_1_264?qid=1679211656&s=shoes&sr=1-264,3.9,"4,605",₹490,"₹1,499"
BATA Womens Samba TH Red Heeled Sandal - 5 UK (5715523),women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/51PGPpwIVLL._AC_UL320_.jpg,https://www.amazon.in/Bata-Womens-SAMBA-Red-Slipper/dp/B09W5XNLNP/ref=sr_1_265?qid=1679211656&s=shoes&sr=1-265,3.6,32,₹527,₹599
Mosac Women Block Heels Sandal Party Casual Wear Sandal Zipper Sandals,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/718kMHPnCYL._AC_UL320_.jpg,https://www.amazon.in/Mosac-Sandal-Casual-Zipper-Sandals/dp/B09WN7TCPS/ref=sr_1_266?qid=1679211656&s=shoes&sr=1-266,3.7,13,₹599,₹999
TWINSSHOE Women Stylish Fancy and Comfort Trending Wedge Heel Fashion Sandal,women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/61N0w+wPHoL._AC_UL320_.jpg,https://www.amazon.in/Elastic-Sandals-Fashion-Stylish-Trending/dp/B097P73PK7/ref=sr_1_267?qid=1679211656&s=shoes&sr=1-267,4.0,124,₹559,"₹1,299"
"Do Bhai Women Material Synthtic Stylish Fashion Heel Sandal, Block Heel",women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/91RdCyhBBUL._AC_UL320_.jpg,https://www.amazon.in/Do-Bhai-Material-Synthtic-Color-Pink/dp/B08W9QB13L/ref=sr_1_268?qid=1679211656&s=shoes&sr=1-268,3.9,128,₹599,₹999
Mochi Women's Synthetic Sandals (32-1613),women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/71GAa0RgGeL._AC_UL320_.jpg,https://www.amazon.in/Mochi-Womens-Black-Sandal-32-1613/dp/B09RK495T7/ref=sr_1_269?qid=1679211656&s=shoes&sr=1-269,3.8,15,₹896,"₹1,690"
"BATA Women HELEN SANDAL Brown Flats, (6614750)",women's shoes,Fashion Sandals,https://m.media-amazon.com/images/I/81BtDzHP8IL._AC_UL320_.jpg,https://www.amazon.in/Women-HELEN-SANDAL-Brown-6614750/dp/B09ZYN65TZ/ref=sr_1_270?qid=1679211656&s=shoes&sr=1-270,3.5,15,₹547.04,₹999
