name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Puma Unisex-Child Tacto Ii Fg/Ag Junior Football Shoe,sports & fitness,Football,https://m.media-amazon.com/images/I/51SgGEKmqxL._AC_UL320_.jpg,https://www.amazon.in/Puma-Unisex-Kid-Parisian-Night-Fresh-Football/dp/B0B9CC169P/ref=sr_1_433?qid=1679217159&s=sports&sr=1-433,4.0,14,"₹1,447","₹2,999"
Shrishti Creations Women's Ankle Length Velvet Socks,sports & fitness,Football,https://m.media-amazon.com/images/I/41SfdngTkFL._AC_UL320_.jpg,https://www.amazon.in/Winter-Thermal-Colour-Length-multicolor/dp/B08PL3GR9X/ref=sr_1_434?qid=1679217159&s=sports&sr=1-434,4.1,704,₹299,₹999
PLUMBURY Women's No-show Net Socks (Pack of 5) (PL-NOSHOWSOCKS-LACE-ASSORTED_5_Multicolored),sports & fitness,Football,https://m.media-amazon.com/images/I/41nv2qt+vHL._AC_UL320_.jpg,https://www.amazon.in/PLUMBURY-Womens-Girls-Anti-Skid-Footies/dp/B084VV2KYD/ref=sr_1_435?qid=1679217159&s=sports&sr=1-435,3.6,110,₹499,₹799
Nivia 1021OR Blade Machine Stitched Football,sports & fitness,Football,https://m.media-amazon.com/images/I/71a0pxsDfmL._AC_UL320_.jpg,https://www.amazon.in/NIVIA-Machine-Stitched-Football-Orange/dp/B0797S7Z4K/ref=sr_1_436?qid=1679217159&s=sports&sr=1-436,3.5,158,₹474,₹569
Amazon Brand - Symactive Men's Regular Track Pants,sports & fitness,Football,https://m.media-amazon.com/images/I/71oZLTcPR4L._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-Track-AW17-SYSP-08A_Large_Navy/dp/B072N81FJY/ref=sr_1_437?qid=1679217159&s=sports&sr=1-437,3.9,524,₹509,"₹1,799"
MARK LOUIIS Men's Regular Fit Track pants,sports & fitness,Football,https://m.media-amazon.com/images/I/61gevlJ1+9L._AC_UL320_.jpg,https://www.amazon.in/MARK-LOUIIS-Regular-Track-Pants/dp/B09HQXQGB6/ref=sr_1_438?qid=1679217159&s=sports&sr=1-438,3.9,"2,425",₹616,"₹1,180"
Jockey Men's Relaxed Fit Sweatpants,sports & fitness,Football,https://m.media-amazon.com/images/I/61LkSqfcRIL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Relaxed-Sweatpants-IM03_Mid-Print09_Medium/dp/B07KQD3HZV/ref=sr_1_439?qid=1679217159&s=sports&sr=1-439,3.9,314,,"₹1,199"
"RASCO Joggers for Women, (for Summer ONLY),Stretchable Treggings & Track Pants, Women's Relaxed Fit Rayon Trousers, Wester...",sports & fitness,Football,https://m.media-amazon.com/images/I/51SR0NxEsJL._AC_UL320_.jpg,https://www.amazon.in/RASCO-Joggers-Stretchable-Treggings-Trousers/dp/B0BT1R74GJ/ref=sr_1_440?qid=1679217159&s=sports&sr=1-440,3.6,8,₹499,₹999
Jockey Men's Regular Track Pants,sports & fitness,Football,https://m.media-amazon.com/images/I/71gzUlcf9iL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Regular-Track-MV24_Insignia-Blue_M/dp/B09MQB76JD/ref=sr_1_441?qid=1679217159&s=sports&sr=1-441,4.0,69,₹999,"₹1,699"
"F&B Modern FIFA World Cup New Age Football with Air Pump (Size-5, Multicolor) | White Blue Orange & Yellow",sports & fitness,Football,https://m.media-amazon.com/images/I/41DOpZNf4OL._AC_UL320_.jpg,https://www.amazon.in/Modern-Football-Size-5-Multicolor-Orange/dp/B0BPBSV6HL/ref=sr_1_442?qid=1679217159&s=sports&sr=1-442,3.6,4,₹499,₹899
