name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Nimeasy Dishwash Liquid Gel 1 L, Kitchen Utensil Cleaner, Lift Off Action with Enzyme Technology, Removes grease & oil, Wa...",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/61wOhjHP5vL._AC_UL320_.jpg,https://www.amazon.in/Nimeasy-Dishwash-Technology-bacteria-fragrance/dp/B08Q9L7HDJ/ref=sr_1_241?qid=1679215675&s=hpc&sr=1-241,4.3,"4,176",,₹220
Surf Excel Matic Liquid Detergent Front Load 2+2 ltr Carton,beauty & health,Household Supplies,https://m.media-amazon.com/images/I/61AiS8w7A0S._AC_UL320_.jpg,https://www.amazon.in/Surf-Excel-Liquid-Detergent-Carton/dp/B08Z4MQRHL/ref=sr_1_242?qid=1679215675&s=hpc&sr=1-242,4.5,"5,426",,₹830
Tide Matic 4in1 PODs Detergent Pack 32 ct -for Top & Front load washing machine only,beauty & health,Household Supplies,https://m.media-amazon.com/images/I/61uYsd745GL._AC_UL320_.jpg,https://www.amazon.in/Tide-Matic-Detergent-washing-machine/dp/B0B8YQC3M7/ref=sr_1_243?qid=1679215675&s=hpc&sr=1-243,4.5,36,₹552.75,₹825
Avance Oily Stain Remover Oven/Gas stove/Chimney Cleaner Stain Remover,beauty & health,Household Supplies,https://m.media-amazon.com/images/I/7195pFG62KL._AC_UL320_.jpg,https://www.amazon.in/Avance-Stain-Remover-Chimney-Cleaner/dp/B07Z85QWZ4/ref=sr_1_244?qid=1679215675&s=hpc&sr=1-244,4.0,"6,498",₹275,₹350
IFB Essentials Fluff Front Load Fabric Liquid Detergent - 1 liters,beauty & health,Household Supplies,https://m.media-amazon.com/images/I/61V7RNLQhYL._AC_UL320_.jpg,https://www.amazon.in/IFB-Essentials-Fluff-Fabric-Detergent/dp/B075GSVL1M/ref=sr_1_245?qid=1679215675&s=hpc&sr=1-245,4.4,"10,297",₹330,₹360
"Tide White Detergent Bar Soap, Value Pack 200 gms x 5",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/71dbu8xqXeL._AC_UL320_.jpg,https://www.amazon.in/Tide-White-Detergent-Soap-Value/dp/B08DBC95QP/ref=sr_1_246?qid=1679215675&s=hpc&sr=1-246,4.3,"1,371",,₹110
"Forcado Eco Friendly Electronic LED Mosquito Killer Machine Trap Lamp, Theory Screen Protector Mosquito Killer lamp for US...",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/61eXkc684aL._AC_UL320_.jpg,https://www.amazon.in/Forcado-Friendly-Electronic-Mosquito-Protector/dp/B0BV784P71/ref=sr_1_247?qid=1679215675&s=hpc&sr=1-247,3.4,72,₹498,₹999
"Harpic Power Plus Toilet Cleaner - 600ml (Original, Pack of 3)",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/811QleRaL2L._AC_UL320_.jpg,https://www.amazon.in/Harpic-Power-Plus-Toilet-Cleaner/dp/B08R3CSW4G/ref=sr_1_248?qid=1679215675&s=hpc&sr=1-248,4.4,"41,219",,
"Himalaya Moisturising Aloe Vera Facial Wipes, 25 Count",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/614MWFy-31L._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Moisturising-Facial-Wipes-Count/dp/B079PZFMCM/ref=sr_1_249_mod_primary_new?qid=1679215675&s=hpc&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-249,4.3,"4,362",₹70,₹100
"Ariel Matic Liquid Detergent, Top Load, 1 Litre",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/61YOkp8KgOL._AC_UL320_.jpg,https://www.amazon.in/Ariel-Matic-Liquid-Detergent-Litre/dp/B089DTNXQH/ref=sr_1_250?qid=1679215675&s=hpc&sr=1-250,4.5,"2,205",,₹220
Selpak Toilet Roll - 3Ply (PACK OF 9),beauty & health,Household Supplies,https://m.media-amazon.com/images/I/71cDfRjumnL._AC_UL320_.jpg,https://www.amazon.in/Selpak-Super-Soft-Toilet-Paper/dp/B077G8GK45/ref=sr_1_251?qid=1679215675&s=hpc&sr=1-251,4.6,"1,118",₹600,₹625
"Cif Lemon Abrasive Surface Cleaner Cream for Kitchen & Bathroom, Removes Grease, Dirt & Tough Stains with Natural Cleaning...",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/61mKD5ylozL._AC_UL320_.jpg,https://www.amazon.in/Cif-Abrasive-Bathroom-Cleaning-Particles/dp/B09969L9XN/ref=sr_1_252?qid=1679215675&s=hpc&sr=1-252,4.4,"2,730",₹318,₹398
M Killer UV Led Mosquito Trap Machine Eco Friendly Electronic LED | Anti Mosquito Killer Trap Lamp | Theory Screen Protect...,beauty & health,Household Supplies,https://m.media-amazon.com/images/I/51BF5TXR9HL._AC_UL320_.jpg,https://www.amazon.in/Mosquito-Friendly-Electronic-Protector-Powered/dp/B092JQZ3QV/ref=sr_1_253?qid=1679215675&s=hpc&sr=1-253,3.4,136,,
"Comfort Anti Bacterial Fabric Conditioner 860 ml Bottle, After Wash Liquid Fabric Softener - For Softness, Shine & Long La...",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/51HTZ8ZajYL._AC_UL320_.jpg,https://www.amazon.in/Comfort-After-Bacterial-Fabric-Conditioner/dp/B074NCSWGG/ref=sr_1_254?qid=1679215675&s=hpc&sr=1-254,4.4,"10,015",,₹235
"Surf Excel Matic Power Concentrate (500ML liquid) only half cap for 1 load | 2x Power for tough stain removal, with exotic...",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/51to1NRKxnL._AC_UL320_.jpg,https://www.amazon.in/Surf-Excel-Concentrate-removal-fragrance/dp/B0B4BCRX8R/ref=sr_1_255?qid=1679215675&s=hpc&sr=1-255,4.3,"1,204",₹225,₹240
"Surf Excel Easy Wash Detergent Powder, 3 kg",beauty & health,Household Supplies,https://m.media-amazon.com/images/I/71-nqYJf2TL._AC_UL320_.jpg,https://www.amazon.in/Surf-Excel-Easy-Detergent-Powder/dp/B00SMP20MG/ref=sr_1_256?qid=1679215675&s=hpc&sr=1-256,4.4,"6,947",,₹445
IFB Front Load Washing Machine Multi Fragrance Liquid Detergent-1 Litre (Pack of 2),beauty & health,Household Supplies,https://m.media-amazon.com/images/I/61SqNJ+oTIL._AC_UL320_.jpg,https://www.amazon.in/IFB-Washing-Machine-Fragrance-Detergent-1/dp/B09LV4W6RG/ref=sr_1_257_mod_primary_new?qid=1679215675&s=hpc&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-257,4.3,"1,744",₹545,₹720
Cherry Blossom Shoe Shiner Sponge Handy Shine Black - 4 g | Leather Shoe Shiner,beauty & health,Household Supplies,https://m.media-amazon.com/images/I/41yO8wERj8S._AC_UL320_.jpg,https://www.amazon.in/Cherry-Blossom-Handy-Polish-Sponge/dp/B07GZ5BTRV/ref=sr_1_258?qid=1679215675&s=hpc&sr=1-258,4.1,909,,₹84
GIGAWATTS Mosquito Rechargeable Racket Insect Fly Swatter Bugs Trap Bat LED Light Long Battery Life for Indoor Home Outdoo...,beauty & health,Household Supplies,https://m.media-amazon.com/images/I/81cMs+6sa9L._AC_UL320_.jpg,https://www.amazon.in/GIGAWATTS-Mosquito-Rechargeable-Swatter-Warranty/dp/B0BTDKFXWL/ref=sr_1_259?qid=1679215675&s=hpc&sr=1-259,4.4,16,₹459,₹599
Kitchen Need - Washable and Reusable - (Pack of 1 Roll) Kitchen Printed Tissue/Towel Paper Roll - Washable and Reusable ap...,beauty & health,Household Supplies,https://m.media-amazon.com/images/I/51FNNDn-FGL._AC_UL320_.jpg,https://www.amazon.in/Kitchen-Need-Washable-Reusable-Reusable/dp/B09P4VN1V2/ref=sr_1_260?qid=1679215675&s=hpc&sr=1-260,3.8,618,₹118,₹299
