name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"wipro 15W B22D LED Cool Day Light Bulb, Pack of 2 (Garnet)",home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/61sxaKt9ecL._AC_UL320_.jpg,https://www.amazon.in/Wipro-Garnet-Base-15-Watt-Light/dp/B07BZT45BD/ref=sr_1_193?qid=1679213946&s=kitchen&sr=1-193,4.1,"5,874",₹379,₹850
Magicwand Round Moon Shaped Light Aluminium Alloy Torch with Convex CREE Led,home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/61Z7dG5v1KL._AC_UL320_.jpg,https://www.amazon.in/Round-Shaped-Light-Aluminium-Convex/dp/B073W2C528/ref=sr_1_194?qid=1679213946&s=kitchen&sr=1-194,3.9,"1,696",₹329,₹999
"HOME CUBE Smart Control Sensor Led Night Light Bedroom Lamp With Dual Usb Phone Charging Switch Socket (Warm White, Pack O...",home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/61e6KayvjfL._AC_UL320_.jpg,https://www.amazon.in/HOME-CUBE-Control-Bedroom-Charging/dp/B07QL6CVHG/ref=sr_1_195?qid=1679213946&s=kitchen&sr=1-195,4.1,"1,855",₹569,₹999
"GlowPro P20 LED Pen Flashlight - Pocket EDC Torch with 3 Modes | Lightweight, Portable, Travel-Friendly | Aluminium Body, ...",home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/61DDzStFnvL._AC_UL320_.jpg,https://www.amazon.in/GlowPro-P20-LED-Flashlight-Travel-Friendly/dp/B08FRR4QST/ref=sr_1_196?qid=1679213946&s=kitchen&sr=1-196,4.1,"1,263",₹350,₹375
"X4cart Study Lamp LED Touch Desk Lamp USB Rechargeable Table Lamp Student Study Reading Dimmer Led Desk Light (Pack of 1, ...",home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/31VaYFLBREL._AC_UL320_.jpg,https://www.amazon.in/X4cart-Lamp-Desk-Rechargeable-Student/dp/B0BM69W4J7/ref=sr_1_197?qid=1679213946&s=kitchen&sr=1-197,3.4,62,₹299,₹999
"SYSKA Fab-4001 Fan Shaped Base B22 40-Watt Led Bulb (White, Pack Of 1,B22D)",home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/61dD-77kU+L._AC_UL320_.jpg,https://www.amazon.in/Syska-FAB-4001-Shaped-40-Watt-White/dp/B07P42GBR8/ref=sr_1_198?qid=1679213946&s=kitchen&sr=1-198,4.1,611,₹597,₹799
wipro Orion 6w Rechargeable LED Table Lamp- 3 Grade Dimming and Night Light |Li-Ion Battery,home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/61L1WtnLLeL._AC_UL320_.jpg,https://www.amazon.in/wipro-Rechargeable-Dimming-Li-Ion-Battery/dp/B0BRZKKZST/ref=sr_1_199?qid=1679213946&s=kitchen&sr=1-199,4.0,2,₹799,"₹1,499"
"Wipro Garnet 1 Feet 5-Watt LED Batten (Cool Day Light), Pack of 1",home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/61X+GobRTLL._AC_UL320_.jpg,https://www.amazon.in/Wipro-Garnet-5-Watt-Batten-Light/dp/B00RZB9N4G/ref=sr_1_200?qid=1679213946&s=kitchen&sr=1-200,4.3,"2,055",₹299,₹340
"Gesto 16.4Feet Long with 12V Adaptor LED Neon Strip Rope Lights,Flat Silicone Neon Rope Light Flexible Cuttable String, IP...",home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/710whoI9Z5S._AC_UL320_.jpg,https://www.amazon.in/Gesto-16-4Feet-Silicone-Waterproof-Decoration/dp/B0B6VJ2WTD/ref=sr_1_201?qid=1679213946&s=kitchen&sr=1-201,3.9,264,₹725,"₹1,999"
"XERGY 20 Meter 200 LED's Waterproof Fairy Decorative Stary String Light - 2 M USB Powered (3 Copper Wires, Sturdy Quality)...",home & kitchen,Indoor Lighting,https://m.media-amazon.com/images/I/71xNM+1pw-L._AC_UL320_.jpg,https://www.amazon.in/XERGY-Meter-Waterproof-Decorative-String/dp/B07STKKB9M/ref=sr_1_202?qid=1679213946&s=kitchen&sr=1-202,4.3,"10,948",₹521,"₹1,499"
