name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Ravensburger 3D Puzzles Big Ben Night Edition, Multi Color (216 Pieces)",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61r8g1fjWTL._AC_UL320_.jpg,https://www.amazon.in/Ravensburger-Puzzles-Night-Multi-Pieces/dp/B00QM4W042/ref=sr_1_289?qid=1679219918&s=toys&sr=1-289,4.6,"5,017",,"₹6,752"
Ravensburger San Juan Bopard Game,toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/919y3BMLMTL._AC_UL320_.jpg,https://www.amazon.in/Ravensburger-Board-Games-Juan-Second/dp/B00PGBZDM8/ref=sr_1_290?qid=1679219918&s=toys&sr=1-290,4.5,413,"₹7,391","₹11,600"
"WWE Elite Figure 1 Daniel Bryan, Black",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51mzscgXXLL._AC_UL320_.jpg,https://www.amazon.in/WWE-Elite-Figure-Daniel-Bryan/dp/B00O978MNM/ref=sr_1_291?qid=1679219918&s=toys&sr=1-291,4.2,30,,"₹11,823"
"Zometool Basic Creator Kit, Multi Color",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Vd66NlyvL._AC_UL320_.jpg,https://www.amazon.in/Zometool-Basic-Creator-Multi-Color/dp/B00O4E3NHK/ref=sr_1_292?qid=1679219918&s=toys&sr=1-292,4.0,28,,"₹4,847"
Snap Circuits Motion Kit,toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/A1oYJhqWQSL._AC_UL320_.jpg,https://www.amazon.in/Snap-Circuits-SCM-165-Motion-Kit/dp/B00KAS5GC4/ref=sr_1_293?qid=1679219918&s=toys&sr=1-293,4.8,583,,"₹12,516.90"
15 Inch Plush GET WELL SOON Teddy Bear w/Cast for Autograph - Speedy Recovery GIFT for Hospitalized CHILD Adult - KEEPSAKE,toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/515sT0ZkFYL._AC_UL320_.jpg,https://www.amazon.in/Inch-Plush-WELL-Teddy-Autograph/dp/B00K302PEG/ref=sr_1_294?qid=1679219918&s=toys&sr=1-294,,,"₹5,869","₹11,697"
"Papo Dog and Cat Companions Figures, Red Cat",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61OjFGH3FuL._AC_UL320_.jpg,https://www.amazon.in/Papo-Dog-Cat-Companions-Figures/dp/B00IO89V9Q/ref=sr_1_295?qid=1679219918&s=toys&sr=1-295,4.5,197,,"₹1,858"
"Magformers Set, Multi Color (26 Pieces)",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51K7xEmB-GL._AC_UL320_.jpg,https://www.amazon.in/Magformers-Set-Multi-Color-Pieces/dp/B00HVB06NM/ref=sr_1_296?qid=1679219918&s=toys&sr=1-296,,,,"₹8,985.02"
"Ravensburger Puzzles No Dogs on The Beach, Multi Color (100 Pieces)",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71IC54KTpTL._AC_UL320_.jpg,https://www.amazon.in/Ravensburger-Puzzles-Beach-Multi-Pieces/dp/B00HR3AAGW/ref=sr_1_297?qid=1679219918&s=toys&sr=1-297,4.9,"1,012",,"₹3,634"
SCHLEICH Horse Club Trakehner Foal Educational Figurine for Kids Ages 5-12,toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81-EUFsTUaL._AC_UL320_.jpg,https://www.amazon.in/Schleich-Trakehner-Foal-Toy-Figure/dp/B00GL6BUCO/ref=sr_1_298?qid=1679219918&s=toys&sr=1-298,4.8,514,"₹2,123","₹3,999"
"SLUGTERRA Kord 4"" Action Figure",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/713NN0BXVCL._AC_UL320_.jpg,https://www.amazon.in/SLUGTERRA-Kord-4-Action-Figure/dp/B00FS41P4I/ref=sr_1_299?qid=1679219918&s=toys&sr=1-299,,,"₹13,739","₹27,497"
"Ravensburger 3D Puzzles One World Trade Center, Multi Color (216 Pieces)",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71hVkn6uinL._AC_UL320_.jpg,https://www.amazon.in/Ravensburger-Puzzles-World-Center-Pieces/dp/B00EQ7GYAS/ref=sr_1_300?qid=1679219918&s=toys&sr=1-300,4.6,400,,"₹7,359"
"Manhattan Toy Baby Stella Take Along Travel Crib Pack and Play Accessory for Nurturing Dolls, Multi Color",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81+by5MAkFL._AC_UL320_.jpg,https://www.amazon.in/Manhattan-Toy-Stella-Accessory-Nurturing/dp/B00E0JNMHU/ref=sr_1_301?qid=1679219918&s=toys&sr=1-301,4.5,739,,"₹7,167.30"
"Ravensburger Puzzles Arctic Wolves, Multi Color (1000 Pieces)",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81GxvZGbn0L._AC_UL320_.jpg,https://www.amazon.in/Ravensburger-Puzzles-Arctic-Wolves-Pieces/dp/B00DF06WK4/ref=sr_1_302?qid=1679219918&s=toys&sr=1-302,4.7,"1,843",,
"Rock Star - 3 piece outfit includes t-shirt, denim skirt and hot pink boots - American Girl Doll Clo",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51ZGjw68wDL._AC_UL320_.jpg,https://www.amazon.in/Rock-Star-outfit-t-shirt-American/dp/B00CW6F2US/ref=sr_1_303?qid=1679219918&s=toys&sr=1-303,4.5,43,,"₹4,591"
Magformers Wow Set 16 pcs.,toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/6137iuIhFbL._AC_UL320_.jpg,https://www.amazon.in/Magformers-Wow-Set-16-pcs/dp/B00CJHZRW8/ref=sr_1_304?qid=1679219918&s=toys&sr=1-304,4.7,853,,"₹7,920.68"
"Eclipse Sun Products UPF 50+ Sun Sleeves, Small, White",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41gIh33bP6L._AC_UL320_.jpg,https://www.amazon.in/Eclipse-Products-Sleeves-Small-White/dp/B00CGDXPTM/ref=sr_1_305?qid=1679219918&s=toys&sr=1-305,,,"₹5,762","₹8,499"
"Ravensburger Puzzles Underwater Paradise, Multi Color (150 Pieces)",toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81OY32cCHiL._AC_UL320_.jpg,https://www.amazon.in/Ravensburger-Puzzles-Underwater-Paradise-Pieces/dp/B00C3S7MS0/ref=sr_1_306?qid=1679219918&s=toys&sr=1-306,4.8,"1,050",,"₹3,579.55"
Manhattan Toy Zoo Winkel Owl Rattle and Sensory Teether,toys & baby products,International Toy Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51xjur6p2AL._AC_UL320_.jpg,https://www.amazon.in/Manhattan-Toy-Winkel-Sensory-Teether/dp/B00BR3EMSA/ref=sr_1_307?qid=1679219918&s=toys&sr=1-307,4.7,194,"₹3,918","₹5,499"
