name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Imagimake Mapology India with State Capitals - Educational Toy and Learning Aid for Boys and Girls - India Map Puzzle - Ji...,toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61jneAH2IkL._AC_UL320_.jpg,https://www.amazon.in/Imagimake-Mapology-India-State-Capitals/dp/B076WQ3M5X/ref=sr_1_1?qid=1679219909&s=toys&sr=1-1,4.4,"16,011",₹399,₹499
"Play Poco Magnetic Imagination Shapes - with 102 Magnetic Shapes, 2 Magnetic Boards, 300 Design Booklet, 2 Display Stands",toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51bN6AhrCgL._AC_UL320_.jpg,https://www.amazon.in/Play-Poco-Magnetic-Imagination-Shapes/dp/B07Q2ZVF2Y/ref=sr_1_2?qid=1679219909&s=toys&sr=1-2,4.2,"8,672",₹425,"₹1,200"
"Funskool Games - Topple, Strategy balancing and skill game, Stack 5 in a row, Kids & Family, 2 - 4 players, 6 & above - Mu...",toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91s2B8IPrBL._AC_UL320_.jpg,https://www.amazon.in/Funskool-4968200-Topple-Multi-Color/dp/B00IKBIKYO/ref=sr_1_3?qid=1679219909&s=toys&sr=1-3,4.3,"1,486",₹434,₹499
"Smartivity Microscope 100x Zoom Science Toy STEM DIY Fun Game for Kids age 8 to 14 years old, Birthday Gift Toy for Boys &...",toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81XyjKoM22L._AC_UL320_.jpg,https://www.amazon.in/Smartivity-Microscope-Learning-Educational-Activity/dp/B07XTK9DMX/ref=sr_1_4?qid=1679219909&s=toys&sr=1-4,4.4,"1,617",₹947,"₹1,199"
"Smartivity DIY Robotic Mechanical Hand STEM Fun Toys for kids 8-14, Educational & Construction Activity Game for Kids, Bir...",toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81nPyIv2LJL._AC_UL320_.jpg,https://www.amazon.in/Smartivity-Mechanical-Learning-Educational-Activity/dp/B07XTKJXPT/ref=sr_1_5?qid=1679219909&s=toys&sr=1-5,4.4,"1,280",₹947,"₹1,199"
"Einstein Box for 2 Year Old Baby Boys and Girls, Learning and Educational Gift Pack of Toys and Books-Cardboard,Multicolour",toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61b0qbjPKOL._AC_UL320_.jpg,https://www.amazon.in/Einstein-Box-Learning-Educational-Multicolour/dp/B01N5234UL/ref=sr_1_6?qid=1679219909&s=toys&sr=1-6,4.1,"5,276",₹699,₹999
"CocoMoco Kids Country Trump Cards Geography Game, Educational Toy, Return Gift for Kids Ages 5-8 Years, 9-12 Year Old Boys...",toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81L-s+ezSSL._AC_UL320_.jpg,https://www.amazon.in/CocoMoco-Kids-Country-Trump-Cards/dp/B00I5MD6QA/ref=sr_1_7?qid=1679219909&s=toys&sr=1-7,4.2,"1,782",₹310,₹349
Einstein Box for 1-Year-Old Boys/Girls | Gift Toys for 1-Year-Old Kids | Board Books and Pretend Play Gift Pack | Learning...,toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61f5n6abKsL._AC_UL320_.jpg,https://www.amazon.in/Einstein-Box-Learning-Educational-Multicolour/dp/B01N5267EI/ref=sr_1_8?qid=1679219909&s=toys&sr=1-8,4.1,"4,711",₹699,₹999
"Smartivity Kaleidoscope STEM Educational DIY Fun Toys, Educational & Construction based Activity Game for Kids 6 to 14, Bi...",toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91lkxOZ+ejL._AC_UL320_.jpg,https://www.amazon.in/Smartivity-Fantastic-kalaiedoscope-Educational-Construction/dp/B01N2UPTQI/ref=sr_1_9?qid=1679219909&s=toys&sr=1-9,4.1,"1,813",₹631,₹799
"Smartivity Space Rocket STEM Toy, Educational & Construction based DIY Fun Activity Game for Kids 6 to 14, Birthday Gifts ...",toys & baby products,STEM Toys Store,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81uUzERDsFL._AC_UL320_.jpg,https://www.amazon.in/Smartivity-Blast-Space-Rocket-Educational/dp/B01N6HH6EZ/ref=sr_1_10?qid=1679219909&s=toys&sr=1-10,4.2,"1,192",₹591,₹749
