name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Echo Dot (3rd Gen) - Smart speaker with Alexa, compact size, loud sound & Bluetooth","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/61EXU8BuGZL._AC_UL320_.jpg,https://www.amazon.in/Echo-Dot-3rd-Gen/dp/B07PFFMP9P/ref=sr_1_4?qid=1679129285&s=electronics&sr=1-4,4.4,"98,293","₹2,499","₹4,499"
"ZEBRONICS Zeb-Astra 20 Wireless BT v5.0 Portable Speaker with 10W RMS Output, TWS, 10H Backup Approx, Built in Rechargeabl...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71yCNxkT4GL._AC_UL320_.jpg,https://www.amazon.in/ZEBRONICS-Zeb-Astra-20-Wireless-Rechargeable/dp/B0B12K5BPM/ref=sr_1_5?qid=1679129285&s=electronics&sr=1-5,3.8,"2,394",₹899,"₹2,299"
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Fun...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81U3kN9bf1L._AC_UL320_.jpg,https://www.amazon.in/Zebronics-Zeb-County-Bluetooth-Speaker-Function/dp/B07YNTJ8ZM/ref=sr_1_6?qid=1679129285&s=electronics&sr=1-6,3.9,"66,450",₹499,₹999
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, ...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/61K8FS335JL._AC_UL320_.jpg,https://www.amazon.in/boAt-Bluetooth-Resistance-Playtime-Multi-Compatibility/dp/B09TDK97JM/ref=sr_1_7?qid=1679129285&s=electronics&sr=1-7,4.0,"3,875","₹1,699","₹3,490"
"Infinity (JBL Fuze Pint, Wireless Ultra Portable Mini Speaker with Mic, Deep Bass, Dual Equalizer, Bluetooth 5.0 with Voic...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71K6mroOBJL._AC_UL320_.jpg,https://www.amazon.in/Infinity-Fuze-Pint-Portable-Wireless/dp/B07W6VWZ8C/ref=sr_1_8?qid=1679129285&s=electronics&sr=1-8,4.1,"31,100",₹899,"₹1,999"
"boAt Stone 620 Bluetooth Speaker with 12W RMS Stereo Sound, 10HRS Playtime, TWS Feature, IPX4, Multi-Compatibility Mode(Bl...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/61oSoHc7VtL._AC_UL320_.jpg,https://www.amazon.in/boAt-Stone-620-Portable-Multi-Compatibility/dp/B09GFRV7L5/ref=sr_1_9?qid=1679129285&s=electronics&sr=1-9,4.1,"2,957","₹1,999","₹3,990"
"Mivi Roam 2 Bluetooth 5W Portable Speaker,24 Hours Playtime,Powerful Bass, Wireless Stereo Speaker with Studio Quality Sou...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81QP3C+rTbL._AC_UL320_.jpg,https://www.amazon.in/Mivi-Wireless-Bluetooth-Waterproof-Assistance/dp/B08PGYLCQB/ref=sr_1_10?qid=1679129285&s=electronics&sr=1-10,4.3,"36,230","₹1,199","₹2,999"
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Fun...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81v-h4I5CCL._AC_UL320_.jpg,https://www.amazon.in/Zebronics-Zeb-County-Bluetooth-Speaker-Function/dp/B07YNV41FT/ref=sr_1_11?qid=1679129285&s=electronics&sr=1-11,3.9,"66,450",₹549,₹999
"Tribit XSound Go 16W 5.0 Bluetooth Speaker with Loud Sound & Rich Bass, 24H Playtime, IPX7 Waterproof, Wireless Stereo Pai...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71BJbii7jlL._AC_UL320_.jpg,https://www.amazon.in/Bluetooth-Tribit-Upgraded-Portable-Waterproof/dp/B078S4P3J9/ref=sr_1_12?qid=1679129285&s=electronics&sr=1-12,4.4,"5,486","₹2,699","₹3,499"
"boAt Aavante Bar 1750 2.1 Channel Bluetooth Soundbar with 120W RMS Signature Sound, Wireless Subwoofer, Multi-Compatibilit...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/51NKG81AnyL._AC_UL320_.jpg,https://www.amazon.in/boAt-Bluetooth-Signature-Subwoofer-Multi-Compatibility/dp/B09LMDTNQG/ref=sr_1_16?qid=1679129285&s=electronics&sr=1-16,4.2,"41,967","₹7,999","₹19,990"
"boAt Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playback, 1.75"" Driver, IPX7 & TWS Feature(Blue)","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71EUBuY6bIL._AC_UL320_.jpg,https://www.amazon.in/boAt-Stone-Bluetooth-Speaker-Blue/dp/B08JMF7RF2/ref=sr_1_17?qid=1679129285&s=electronics&sr=1-17,4.1,"18,836",₹939,"₹2,490"
"boAt Stone 250 Portable Wireless Speaker with 5W RMS Immersive Audio, RGB LEDs, Up to 8HRS Playtime, IPX7 Water Resistanc...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/817sFuJKHjL._AC_UL320_.jpg,https://www.amazon.in/boAt-Portable-Immersive-Resistance-Multi-Compatibility/dp/B09X1GZ18L/ref=sr_1_18?qid=1679129285&s=electronics&sr=1-18,4.2,"3,106",₹999,"₹3,990"
boAt Stone 200 3W Portable Bluetooth Speakers (Black),"tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81cyVGquiqL._AC_UL320_.jpg,https://www.amazon.in/Stone-200-Portable-Bluetooth-Speakers/dp/B01JIP44OU/ref=sr_1_19?qid=1679129285&s=electronics&sr=1-19,4.4,"32,365",₹749,"₹2,990"
"JBL Go 2, Wireless Portable Bluetooth Speaker with Mic, JBL Signature Sound, Vibrant Color Options with IPX7 Waterproof & ...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/8193DNNjZFS._AC_UL320_.jpg,https://www.amazon.in/JBL-Portable-Waterproof-Bluetooth-Speaker/dp/B07B88KQZ8/ref=sr_1_20?qid=1679129285&s=electronics&sr=1-20,4.3,"64,958","₹1,999","₹2,999"
"boAt Stone 135 Portable Wireless Speaker with 5W RMS Immersive Sound, IPX4 Water Resistance, True Wireless Feature, Up to ...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/61BZ1cEl6oL._AC_UL320_.jpg,https://www.amazon.in/boAt-Portable-Immersive-Resistance-Multi-Connectivity/dp/B0B12Q8K2X/ref=sr_1_21?qid=1679129285&s=electronics&sr=1-21,4.0,"3,209",₹899,"₹1,990"
"boAt Newly Launched Aavante Bar Mystiq Soundbar with 100W RMS Signature Sound, 2.1 CH,Multi-Connectivity Modes,BT v5.3,Wir...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71m670zYOXL._AC_UL320_.jpg,https://www.amazon.in/boAt-Launched-Signature-Multi-Connectivity-Subwoofer/dp/B0BTDNZQWJ/ref=sr_1_22?qid=1679129285&s=electronics&sr=1-22,,,"₹5,499","₹15,990"
"All-New Echo Dot (5th Gen, 2023 release) | Smart speaker with Bigger sound, Motion Detection, Temperature Sensor and Alex...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81YYGncMaLL._AC_UL320_.jpg,https://www.amazon.in/All-New-Echo-Dot-5th-Gen-2023-release-Smart-speaker-with-Bigger-sound-Motion-Detection-Temperature-Sensor-and-Alexa-Blue/dp/B09B8XJDW5/ref=sr_1_23?qid=1679129285&s=electronics&sr=1-23,3.7,36,,"₹5,499"
"boAt Aavante Bar Orion Soundbar with 160W RMS Signature Sound, 2.1 CH, BT v5.3, Multi-Compatibility Modes, Wired Subwoofe...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/61qKiT8j2rL._AC_UL320_.jpg,https://www.amazon.in/boAt-Soundbar-Signature-Multi-Compatibility-Subwoofer/dp/B0BBVBCL3F/ref=sr_1_24?qid=1679129285&s=electronics&sr=1-24,3.9,935,"₹8,499","₹21,990"
"JBL Go 2, Wireless Portable Bluetooth Speaker with Mic, Signature Sound, Vibrant Color Options with IPX7 Waterproof & AUX...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71gNS1OH3qL._AC_UL320_.jpg,https://www.amazon.in/JBL-Portable-Waterproof-Bluetooth-Speaker/dp/B07B8GKZ9G/ref=sr_1_25?qid=1679129285&s=electronics&sr=1-25,4.3,"64,958","₹1,999","₹2,999"
"PTron Newly Launched Musicbot Lite 5W Mini Bluetooth Speaker with 6Hrs Playtime, Immersive Sound, 40mm Driver, BT5.1 with ...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71qpDfsAI6L._AC_UL320_.jpg,https://www.amazon.in/PTron-Bluetooth-Immersive-Connectivity-Integrated/dp/B0B7FGND3X/ref=sr_1_26?qid=1679129285&s=electronics&sr=1-26,3.4,"1,809",₹499,"₹1,600"
"Zebronics ZEB-VITA Wireless Bluetooth 10W Portable Bar Speaker With Supporting USB, SD Card, AUX, FM, TWS & Call Function","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81Mg9W0JCNL._AC_UL320_.jpg,https://www.amazon.in/Zebronics-Zeb-Vita-Portable-Speaker-Bluetooth/dp/B0814ZY6FP/ref=sr_1_27?qid=1679129285&s=electronics&sr=1-27,3.8,"11,355",₹799,"₹1,199"
"AmazonBasics Bluetooth Speaker 5.0 Soundbar with 16W RMS, 2000mAh Battery, Upto 19 Hrs Playtime Aux/USB Port (Grey)","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81Oa+WnnA4L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Bluetooth-Speaker-Soundbar-Playtime/dp/B0BLNLLJR8/ref=sr_1_28?qid=1679129285&s=electronics&sr=1-28,3.9,279,"₹1,249","₹2,199"
"Portronics SoundDrum 1 10W TWS Portable Bluetooth 5.0 Speaker with Powerful Bass, Inbuilt-FM & Type C Charging Cable Inclu...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/51kgud4rC6S._AC_UL320_.jpg,https://www.amazon.in/Portronics-SoundDrum-Portable-Bluetooth-Inbuilt-FM/dp/B097D69GJ1/ref=sr_1_29?qid=1679129285&s=electronics&sr=1-29,4.0,"4,920","₹1,099","₹2,499"
"ZEBRONICS Zeb-VITA Wireless Bluetooth 10W Portable Bar Speaker with Supporting USB, SD Card, AUX, FM, TWS & Call Function....","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/71NG293u2xL._AC_UL320_.jpg,https://www.amazon.in/ZEBRONICS-Zeb-VITA-Bluetooth-Supporting-Function/dp/B09NZV378R/ref=sr_1_30?qid=1679129285&s=electronics&sr=1-30,3.8,"11,355",₹799,"₹1,999"
"ZEBRONICS Sound Feast 50, 14 W Portable Speaker Supporting Bluetooth, Pendrive Slot, mSD Card, FM, Call Function (Black)","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/816YiPaiKNL._AC_UL320_.jpg,https://www.amazon.in/Zebronics-50-Portable-Supporting-Bluetooth/dp/B08HD28LJ6/ref=sr_1_28?qid=1679129287&s=electronics&sr=1-28,3.9,"4,524","₹1,299","₹2,499"
"ZEBRONICS Zeb-JUKEBAR 3900, 80W Multimedia soundbar with subwoofer Supporting Bluetooth, HDMI(ARC), Coaxial Input, AUX, US...","tv, audio & cameras",Speakers,https://m.media-amazon.com/images/I/81io-aPCPdL._AC_UL320_.jpg,https://www.amazon.in/Zebronics-Zeb-JUKEBAR-3900-Multimedia-Supporting/dp/B08CRRQK6Z/ref=sr_1_29?qid=1679129287&s=electronics&sr=1-29,4.2,"4,869","₹4,699","₹11,999"
