name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Campus Men's Maxico Running Shoes,stores,Sportswear,https://m.media-amazon.com/images/I/81Pk4RiSKqL._AC_UL320_.jpg,https://www.amazon.in/Campus-Maxico-MODBLU-BLU-Running-Shoes/dp/B0855ZDZCX/ref=sr_1_1?qid=1679149324&s=apparel&sr=1-1,3.9,"20,423",₹675,"₹1,299"
Sparx Men's Running Shoes,stores,Sportswear,https://m.media-amazon.com/images/I/718SPSP6n5L._AC_UL320_.jpg,https://www.amazon.in/Sparx-SX0241G-White-Running-Shoes/dp/B01AQPHKDS/ref=sr_1_2?qid=1679149324&s=apparel&sr=1-2,4.0,"7,158","₹1,274","₹1,499"
Sparx Mens Sx0500g Running Shoe,stores,Sportswear,https://m.media-amazon.com/images/I/41qqR0F0ThL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Golden-Walking-Shoes-9-SX0500G_BKGO0009/dp/B07ZC8GF6T/ref=sr_1_3?qid=1679149324&s=apparel&sr=1-3,4.0,"2,520",₹769,"₹1,099"
"Van Heusen Athleisure Men Regular Fit Joggers - Cotton Rich - Smart Tech, Easy Stain Release, Anti Stat, Ultra Soft, Quick...",stores,Sportswear,https://m.media-amazon.com/images/I/71vTCFrSkfL._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Cotton-Track-50044_Black_L/dp/B073WBWW42/ref=sr_1_4?qid=1679149324&s=apparel&sr=1-4,4.1,"1,831",₹909,"₹1,699"
Bourge Men's Loire-z126 Running Shoes,stores,Sportswear,https://m.media-amazon.com/images/I/71fC87DbLHL._AC_UL320_.jpg,https://www.amazon.in/Bourge-Loire-63-Running-Shoes-9-Loire-63-D-Grey-09/dp/B07MPZ1B3C/ref=sr_1_5?qid=1679149324&s=apparel&sr=1-5,3.8,"28,719",₹493.92,"₹1,499"
Giordano Sport Shoes for Men,stores,Sportswear,https://m.media-amazon.com/images/I/61gOLIZRKLL._AC_UL320_.jpg,https://www.amazon.in/GIORDANO-Grey-Sport-Shoes-Men/dp/B07Q79ZC59/ref=sr_1_6?qid=1679149324&s=apparel&sr=1-6,3.9,11,"₹1,999","₹6,190"
U.S. POLO ASSN. Men's Regular fit T-Shirt,stores,Sportswear,https://m.media-amazon.com/images/I/51BME9MSQkL._AC_UL320_.jpg,https://www.amazon.in/U-S-Polo-Assn-I638-978-PL_Blue-Melange_Large/dp/B0793LFJZP/ref=sr_1_7?qid=1679149324&s=apparel&sr=1-7,3.9,"5,984",₹499,₹699
Merrell Men's Moab 2 Vent Low Rise Hiking Boots Grey (Castle Rock) 6.5 UK,stores,Sportswear,https://m.media-amazon.com/images/I/81ujUbMJ0xL._AC_UL320_.jpg,https://www.amazon.in/Merrell-Moab-Vent-Hiking-Earth/dp/B01HFA9S5K/ref=sr_1_8?qid=1679149324&s=apparel&sr=1-8,4.5,"17,476",,"₹17,989.20"
Bourge Mens Loire-z1 Running Shoes,stores,Sportswear,https://m.media-amazon.com/images/I/81zwKsHAz0L._AC_UL320_.jpg,https://www.amazon.in/Bourge-Loire-1-Running-Shoes-8-Loire-1-Grey-08/dp/B07LFD7FDN/ref=sr_1_9?qid=1679149324&s=apparel&sr=1-9,4.0,"22,065",₹699,"₹1,499"
Bourge Mens Vega-z5 Running Shoes,stores,Sportswear,https://m.media-amazon.com/images/I/71POb9z3DKL._AC_UL320_.jpg,https://www.amazon.in/Bourge-Vega-1-Running-Shoes-9-Vega-1-Black-09/dp/B07H4RM9LJ/ref=sr_1_10?qid=1679149324&s=apparel&sr=1-10,4.2,"71,125",₹659,₹999
