name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Protoner 16Kg PVC Combo Home Gym Package,sports & fitness,Strength Training,https://m.media-amazon.com/images/I/71K-gcsnOYL._AC_UL320_.jpg,https://www.amazon.in/Protoner-16Kg-PVC-Combo-Package/dp/B08HZ7MY7T/ref=sr_1_97?qid=1679218003&s=sports&sr=1-97,3.6,917,₹965.08,"₹4,999"
"Unisex Hexagon Rubber Vinyl Fixed Dumbbell - Pair Set Hand Weights for Strength Training - Weight Loss, Workout Bench, Gym...",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/71pcrSXprsL._AC_UL320_.jpg,https://www.amazon.in/Generic-Vinyl-Coated-Iron-Dumbbells/dp/B07PM1ZMHK/ref=sr_1_98?qid=1679218003&s=sports&sr=1-98,4.4,367,₹389,"₹6,450"
LAFILLETTE 150 lbs Metal Hand Gripper Forearm Wrist Heavy Strength Exercise Hand Grip/Fitness Grip (Black),sports & fitness,Strength Training,https://m.media-amazon.com/images/I/41oTg0XNbFL._AC_UL320_.jpg,https://www.amazon.in/LALA-LIFE-Gripper-Strength-Exercise/dp/B07NRWR2DG/ref=sr_1_99?qid=1679218003&s=sports&sr=1-99,4.5,381,₹489,"₹1,199"
"Aurion Genuine Leather Pro Weight Lifting Belt, Durable Comfortable & Adjustable With Buckle, Stabilizing Lower Back Suppo...",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/813g2hRYuoL._AC_UL320_.jpg,https://www.amazon.in/Genuine-Comfortable-Adjustable-Stabilizing-Weightlifting/dp/B07SNR3C78/ref=sr_1_100?qid=1679218003&s=sports&sr=1-100,4.4,446,₹799,₹899
SPIRO PVC (Round/Hex) Dumbbells (1 Kg. X 2 = 2 Kg) Pack of 2 for Home Gym Equipment Fitness Barbell|Gym Exercise|Home Work...,sports & fitness,Strength Training,https://m.media-amazon.com/images/I/61VcW8otphL._AC_UL320_.jpg,https://www.amazon.in/Dumbbells-Equipment-Fitness-Barbell-Exercise/dp/B0BFN6WVQP/ref=sr_1_101?qid=1679218003&s=sports&sr=1-101,3.5,52,₹82.31,₹200
"Pull up Bar for Home, Sportneer Adjustable Length Hanging Rod for Height Increase No Screws Anti-skid Grip Hanging Bar for...",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/61JDnhgeIuL._AC_UL320_.jpg,https://www.amazon.in/Sportneer-Adjustable-Training-Lifting-Exercise/dp/B09JC86WNK/ref=sr_1_102?qid=1679218003&s=sports&sr=1-102,4.4,397,"₹1,529","₹2,399"
Dr Trust AB Wheel (USA) Abdominal Exercise Ab Blaster Fitness Roller Wheel Equipment with Knee Mat for Men & Women (Black),sports & fitness,Strength Training,https://m.media-amazon.com/images/I/81uD8dr+YbL._AC_UL320_.jpg,https://www.amazon.in/Dr-Trust-AB-Wheel-Abdominal/dp/B07VQ7PTQX/ref=sr_1_103?qid=1679218003&s=sports&sr=1-103,4.4,"2,477",₹699,"₹1,500"
Lycan Wrist/Ankle Weights 4 kg (2 kg Each x 2 pc),sports & fitness,Strength Training,https://m.media-amazon.com/images/I/71scShG3UlL._AC_UL320_.jpg,https://www.amazon.in/Lycan-Wrist-Ankle-Weights-Each/dp/B09DSKKFT9/ref=sr_1_104?qid=1679218003&s=sports&sr=1-104,4.0,80,₹499,"₹1,199"
"OLAHRAGA Adjustable Hand Grip Strengthener Resistance from5-60 kg, Non-Slip Hand Gripper Perfect for Musicians Athletes an...",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/51DO2xw67zL._AC_UL320_.jpg,https://www.amazon.in/OLAHRAGA-Adjustable-Strengthener-Resistance-Rehabilitation/dp/B09KN4TCXM/ref=sr_1_105?qid=1679218003&s=sports&sr=1-105,4.3,349,₹349,₹999
Kore (PVC/ Rubber/ Coloured Rubber/ Steel/ Professional Metal Integrted)  10 - 30 Kg Spare Weight Plates Combo,sports & fitness,Strength Training,https://m.media-amazon.com/images/I/61eI78WDoQL._AC_UL320_.jpg,https://www.amazon.in/Kore-Plate-10KG-Weight-Plate-Black/dp/B09VTK69WY/ref=sr_1_106?qid=1679218003&s=sports&sr=1-106,3.7,"10,509",₹199,₹249
"Rioff® Steel Pull Up Chin up Bar, Steel Chin Up, Sangal Rod with Chain Hanging Rod ChinUp Bar, Height Increaser and Pull E...",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/51OZ1x5Zt6L._AC_UL320_.jpg,https://www.amazon.in/Rioff-Sangal-Hanging-Increaser-Exercise/dp/B09C37ZXM2/ref=sr_1_107?qid=1679218003&s=sports&sr=1-107,4.2,491,₹498,"₹1,249"
Aurion PVC Dumbbells - (1kg*2) (2kg*2) (3kg*2) (Set of 3) | Premium Hand Weight Dumbbell | Exercise and Fitness Training E...,sports & fitness,Strength Training,https://m.media-amazon.com/images/I/71t8ANKkBzL._AC_UL320_.jpg,https://www.amazon.in/Aurion-Multicolor-Dumbbell-Workout-Including/dp/B09FZ6Y8Z5/ref=sr_1_108?qid=1679218003&s=sports&sr=1-108,4.0,495,₹899,₹999
"FitBox Sports Intruder Hand Grips, Set of 2 (Black)",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/618dJgxlsrL._AC_UL320_.jpg,https://www.amazon.in/FitBox-Sports-Intruder-Grips-Black/dp/B08B239NQK/ref=sr_1_109?qid=1679218003&s=sports&sr=1-109,3.3,110,₹99,₹475
Strauss Adjustable Hand Grip with Smart Counter | Adjustable Resistance (10KG - 60KG) | Hand/Power Gripper for Home & Gym ...,sports & fitness,Strength Training,https://m.media-amazon.com/images/I/61VNawNOuvL._AC_UL320_.jpg,https://www.amazon.in/Strauss-Adjustable-Hand-Grip-Counter/dp/B08XZ9XRTV/ref=sr_1_110?qid=1679218003&s=sports&sr=1-110,3.8,129,₹299,₹725
"FitBox Sports Blend Intruder 20 Kg Weight Plates, 5 Kg X 4 (Black)",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/717g5Xn8Y1L._AC_UL320_.jpg,https://www.amazon.in/FitBox-Sports-Intruder-Weight-Plates/dp/B08B24GDHQ/ref=sr_1_111?qid=1679218003&s=sports&sr=1-111,3.6,948,₹525,"₹2,425"
TEDSPRAY Finger Gripper Strength Trainer Forearm Exerciser Hand Yoga Resistance Band Finger Expander Finger Extension Exer...,sports & fitness,Strength Training,https://m.media-amazon.com/images/I/51I27NpMcLL._AC_UL320_.jpg,https://www.amazon.in/TEDSPRAY-Exerciser-Resistance-Extension-Strengthener/dp/B09QJ1BYJ4/ref=sr_1_112?qid=1679218003&s=sports&sr=1-112,3.5,515,₹459,₹999
"Strauss Adjustable Hand Grip Strengthener, (Black/Grey)",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/61+o56M69-L._AC_UL320_.jpg,https://www.amazon.in/Strauss-Adjustable-Hand-Strengthener-Black/dp/B075WTQTNK/ref=sr_1_113?qid=1679218003&s=sports&sr=1-113,4.2,"3,487",₹205.08,₹549
"XTRIM Wrist Supporter with Thumb Loop Straps for For Men & Women, Wrist Band for Gym Workout, Made of Velcro and Elastic B...",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/71jceNZsvkL._AC_UL320_.jpg,https://www.amazon.in/Xtrim-WRIST-SUPPORT-Bigggggg-EXTRA/dp/B01MRAF80I/ref=sr_1_114?qid=1679218003&s=sports&sr=1-114,4.2,"1,462",₹149,₹699
"Aurion Premium Genuine Pro Leather Weight Lifting Belt (Medium, Black, Pack of 1) for Men and Women | Body Fitness Gym Bac...",sports & fitness,Strength Training,https://m.media-amazon.com/images/I/81n0fBa-CyL._AC_UL320_.jpg,https://www.amazon.in/Genuine-Comfortable-Adjustable-Stabilizing-Weightlifting/dp/B088MGGF7W/ref=sr_1_115?qid=1679218003&s=sports&sr=1-115,4.3,235,₹799,₹949
