name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Skybags Treble-FIFA 68cm Printed Polycarbonate Hardsided Medium Luggage 8 Wheel Anti Theft Zipper Blue & White Trolley,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71C5GfgxW2L._AC_UL320_.jpg,https://www.amazon.in/Skybags-Treble-FIFA-Printed-Polycarbonate-Hardsided/dp/B0BJ4FHPZC/ref=sr_1_625?qid=1679218890&s=luggage&sr=1-625,4.5,2,"₹7,250","₹14,500"
Tommy Hilfiger Plastic Hard 66 cms Luggage (8903496149791_Green),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/41lIioNQ3NS._AC_UL320_.jpg,https://www.amazon.in/Tommy-Hilfiger-Luggage-8903496149791-47X26X65/dp/B093L8CBHX/ref=sr_1_626?qid=1679218890&s=luggage&sr=1-626,3.6,70,"₹6,399","₹7,999"
Samsonite Polyester Hard 68 Cms Luggage- Suitcase(Kd8 (0) 09 I02_Black),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71XSVc5fxgL._AC_UL320_.jpg,https://www.amazon.in/Samsonite-Polyester-Luggage-09-I02_Black/dp/B0BCVYC5K5/ref=sr_1_627?qid=1679218890&s=luggage&sr=1-627,4.0,5,"₹12,220","₹18,800"
Skybags Polycarbonate Hard 21 Cms Suitcase(_Blue),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51euSZMWAnL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Combo-Polycarbonate-Hardsided-Check/dp/B091DJHRFN/ref=sr_1_628?qid=1679218890&s=luggage&sr=1-628,4.4,66,"₹6,648","₹10,043.04"
Skybags Game-ON FIFA 79cm Printed Polycarbonate Hardsided Large Luggage 4 Wheel Yellow & Green Trolley,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/710caoNQ4XL._AC_UL320_.jpg,https://www.amazon.in/Skybags-Printed-Polycarbonate-Hardsided-Luggage/dp/B0BJ4NCPXY/ref=sr_1_629?qid=1679218890&s=luggage&sr=1-629,4.3,5,"₹6,850","₹17,400"
"OBANI Faux Leather Mini Briefcase Brown. Dimensions: 12"" x 8"" x 3"" (L x W x H)",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/81MohdDYVPL._AC_UL320_.jpg,https://www.amazon.in/OBANI-Faux-Leather-Briefcase-Brown/dp/B07B854YJ2/ref=sr_1_630?qid=1679218890&s=luggage&sr=1-630,,,"₹2,299","₹3,600"
"American Tourister Krypton Strolly 69Cm, Red Polycarbonate Expandable Hard Suitcase",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/61Q19URNH6L._AC_UL320_.jpg,https://www.amazon.in/American-tourister-Krypton-69cm-Red/dp/B09SLDT9GF/ref=sr_1_631?qid=1679218890&s=luggage&sr=1-631,2.8,2,"₹5,798","₹12,500"
Fiable Cleantech FPT 150 Platform Trolley | Wheeled Trolley | 150 Kg Load Capacity Platform Trolley | Push Trolley | Porta...,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/31kY5ceAf8S._AC_UL320_.jpg,https://www.amazon.in/Fiable-Cleantech-Platform-Capacity-Portable/dp/B097SXBZVZ/ref=sr_1_632?qid=1679218890&s=luggage&sr=1-632,3.4,15,"₹2,989","₹9,999"
TRUMPKIN / Medium Size / Check in-Luggage / Polyester / Softsided / 2 Wheel Trolley / Single Bag / 66cm / Qty 1 / Scottish...,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/81yE-aYX1uL._AC_UL320_.jpg,https://www.amazon.in/Polyster-Softside-Small-Luggage-Trolley/dp/B09Q91DY31/ref=sr_1_633?qid=1679218890&s=luggage&sr=1-633,4.2,20,"₹1,249","₹2,250"
"AmazonBasics Geometric Travel Luggage Expandable Spinner Suitcase with Wheels and Built-In TSA Lock, 28 Inch - Cream",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71DW1stVnvL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Geometric-Luggage-28-Inch-Cream/dp/B07GNQLNJP/ref=sr_1_634?qid=1679218890&s=luggage&sr=1-634,4.3,124,"₹3,399","₹13,000"
"VIP Neptune Polycarbonate 8 Wheels Trolley Bag(Blue, Size_68)",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/41srt-S1uwL._AC_UL320_.jpg,https://www.amazon.in/VIP-Neptune-Polycarbonate-Trolley-Size_68/dp/B0BL7Q9Z8F/ref=sr_1_635?qid=1679218890&s=luggage&sr=1-635,,,"₹6,900","₹13,800"
Nasher Miles Polycarbonate Hard 21 inch Hardsided Cabin Luggage(NM H127 Canberra Brown 20_Silver),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/61WAZSL5w7L._AC_UL320_.jpg,https://www.amazon.in/Nasher-Miles-Canberra-Polycarbonate-Brown/dp/B07DGHQJ26/ref=sr_1_636?qid=1679218890&s=luggage&sr=1-636,4.0,101,"₹3,149","₹11,995"
"AmazonBasics 2-Piece Set (20"", 28""), Orange",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/913Pdo0vpVL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-2-Piece-Set-20-Orange/dp/B07P8Y9PM2/ref=sr_1_637?qid=1679218890&s=luggage&sr=1-637,4.5,68,"₹4,744.74","₹20,000"
GOCART WITH G LOGO Polycarbonate Hard 12 inch SUITCASE(09GC014-EGGSHAPE-HELLOKITTY_pink),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/61Ms4Ytxe-L._AC_UL320_.jpg,https://www.amazon.in/GOCART-Non-Breakable-Printed-Polycarbonate-Trolley/dp/B0786FHDCP/ref=sr_1_638?qid=1679218890&s=luggage&sr=1-638,3.7,47,"₹2,399","₹4,599"
Samsonite Polyester Hybrid 20 cms suitcase(DA8 (0) 08 004_grey),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/914KOPVDlRL._AC_UL320_.jpg,https://www.amazon.in/SAMSONITE-Tech-ict-TECH-ICT-Rolling-Tote-Grey/dp/B07SND7KPH/ref=sr_1_639?qid=1679218890&s=luggage&sr=1-639,4.1,9,"₹9,939","₹15,290"
"American Tourister Krypton SP Rol Polycarbonate TSA 8 Wheels Hard Trolley(RED, Size_55)",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51J-MKBzSWL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-Krypton-Polycarbonate-Trolley/dp/B0BL6J9MVL/ref=sr_1_640?qid=1679218890&s=luggage&sr=1-640,,,"₹4,800","₹9,600"
MBOSS Laptop Trolley Bag Cabin Size overnighter 2 Wheels fits 15.6 Inch Laptops (TAN),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/61LCmmtOIRL._AC_UL320_.jpg,https://www.amazon.in/Leather-Overnight-Trolley-raincover-ONT015TAN/dp/B07S48SR8F/ref=sr_1_641?qid=1679218890&s=luggage&sr=1-641,3.9,122,"₹4,999","₹17,990"
Safari Mimik 78 Cms Polyester Purple Check-In 4 wheels Hard Suitcase,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/615Ydo+cK2L._AC_UL320_.jpg,https://www.amazon.in/Safari-Mimik-4W-75-EC/dp/B0732JT4FF/ref=sr_1_642?qid=1679218890&s=luggage&sr=1-642,4.2,146,"₹4,679","₹11,760"
"AmazonBasics Expandable Softside Carry-On Spinner Luggage Suitcase With TSA Lock And Wheels - 21 Inch, Grey",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/81Nb5iKnBSL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-YMX06-8-21-Carry-on-Grey/dp/B07BL6H4V6/ref=sr_1_643?qid=1679218890&s=luggage&sr=1-643,4.6,181,"₹2,185.09","₹8,500"
"Bags Bazar Travel Trolly Luggage Bag Soft Sided Polyester Check-in Traveling Suitcase Bag with Push Button, 35 L Cabin 4 W...",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/81tyxUMsEgL._AC_UL320_.jpg,https://www.amazon.in/Bags-Bazar-Polyester-Traveling-Suitcase/dp/B08CSR76NH/ref=sr_1_644?qid=1679218890&s=luggage&sr=1-644,3.8,107,"₹1,399","₹2,299"
TRUMPKIN / Small Size/Cabin-Luggage/Polyester/Softsided / 2 Wheel Trolley,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/61ALbO5pEBL._AC_UL320_.jpg,https://www.amazon.in/Polyster-Softside-Small-Luggage-Trolley/dp/B09PL96WPW/ref=sr_1_645?qid=1679218890&s=luggage&sr=1-645,4.0,213,"₹1,333","₹2,100"
"Verage Falcon 69 Cm Soft Sided Medium Check in Expandable Suitcase Luggage Bag with Telescopic Trolley, Anti Theft Zippers...",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/91XpEXNU+VS._AC_UL320_.jpg,https://www.amazon.in/Verage-Falcon-9-Polyester-Check-VRFLC94W20BL/dp/B07XV8KR5H/ref=sr_1_646?qid=1679218890&s=luggage&sr=1-646,4.4,9,"₹2,999","₹9,599"
"Assembly Set of 3 Polycarbonate Luggage - 74 cm, 62 cm (Check in) & 54 cm (Cabin) Hardsided Suitcase Trolley- Forest Green",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/518Kpj6bnxL._AC_UL320_.jpg,https://www.amazon.in/Assembly-Set-Polycarbonate-Luggage-Hardsided/dp/B0BC1L6VT1/ref=sr_1_647?qid=1679218890&s=luggage&sr=1-647,4.0,3,"₹14,499","₹25,497"
LUMA 55/65 4W Printed,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71HREuyPfkL._AC_UL320_.jpg,https://www.amazon.in/LUMA-55-65-4W-Printed/dp/B097L2HRF4/ref=sr_1_648?qid=1679218890&s=luggage&sr=1-648,,,"₹5,045","₹16,360"
"Genie Poppy Trolley Bag Small Size, 57 cms Pink Printed Soft Luggage Travel Bag for Women, 8 Wheel Small Luggage Suitcase ...",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51CbBpMpevL._AC_UL320_.jpg,https://www.amazon.in/Genie-Trolley-Suitcase-Travelling-Cabin-Friendly/dp/B097JJDD2Y/ref=sr_1_649?qid=1679218890&s=luggage&sr=1-649,4.5,14,"₹3,240","₹8,999"
American Tourister Curio Polypropylene Spinner 77 CM Expandable Hardside Large Suitcase (Tropical Lime),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71XBR6-mAaL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-Polypropylene-Expandable-Hardside/dp/B0BRY6ZM9D/ref=sr_1_650?qid=1679218890&s=luggage&sr=1-650,,,"₹7,399","₹9,390"
FBI-Fabco 40 L Polyester Heavy Trolley Backpack (Grey),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/91coM11wdJL._AC_UL320_.jpg,https://www.amazon.in/FBI-Fabco-Polyester-Heavy-Trolley-Backpack/dp/B07MWDC4FR/ref=sr_1_651?qid=1679218890&s=luggage&sr=1-651,3.4,15,"₹2,050","₹3,999"
Swissbrand Grande Soft Body Medium Navy Blue Luggage Trolley,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/81HeJ8QFm8L._AC_UL320_.jpg,https://www.amazon.in/SWISSBRAND-Grande-Medium-Luggage-Trolley/dp/B08KW27J93/ref=sr_1_652?qid=1679218890&s=luggage&sr=1-652,FREE,Only 1 left in stock.,"₹8,370","₹18,600"
"Skyline Polyester Expandable 95 L Spinner Luggage Suitcase with Number Lock (Purple, 28 Inches)",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/41GzVohvuYL._AC_UL320_.jpg,https://www.amazon.in/Skyline-Expandable-Spinner-Luggage-Suitcase/dp/B08Y94HKV4/ref=sr_1_653?qid=1679218890&s=luggage&sr=1-653,3.6,47,"₹1,999","₹5,400"
"VIP Polypropylene Salsa Strolly 55 360 Degree Hard Luggage (S22VIPSALSA8057002, Black, 55)",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/41TCjrIrqiL._AC_UL320_.jpg,https://www.amazon.in/VIP-Polypropylene-Strolly-Luggage-S22VIPSALSA8057002/dp/B09RMNPJJ1/ref=sr_1_654?qid=1679218890&s=luggage&sr=1-654,,,"₹2,812","₹7,999"
"Amazon Brand - Solimo 56.5 cms Softsided Suitcase with Wheels and TSA Lock, Blue",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/81KoRq-nqgL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Softsided-Suitcase/dp/B07FR2QG41/ref=sr_1_655?qid=1679218890&s=luggage&sr=1-655,4.0,59,"₹2,399","₹10,000"
Cortina Eco Friendly Spandex 55 cm (20 Inch) and 65 cm (24 Inch) Protective Luggage Cover Small Fits 18-22 Inch Medium Fit...,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/717gr2Ng6FS._AC_UL320_.jpg,https://www.amazon.in/Cortina-Friendly-Protective-Inch-Pack-2-Orange/dp/B098FB3K9J/ref=sr_1_656?qid=1679218890&s=luggage&sr=1-656,1.0,1,"₹1,499","₹2,998"
Nasher Miles Rome Expander|Hard Side| Check-in Luggage| Black 24 Inch/65CM Trolley/Travel/Tourist Bag,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51Zakyxf28L._AC_UL320_.jpg,https://www.amazon.in/Nasher-Miles-Rome-Black-Check-inTrolley/dp/B079GY83ZQ/ref=sr_1_657?qid=1679218890&s=luggage&sr=1-657,3.7,29,"₹3,483","₹14,995"
"uppercase JFK 13500EHT1TBL Set of 2 (M+L) Hardsided 8 Wheel Printed Trolley Bag, Travel Suitcase for Men and Women (Teal B...",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/71Dv1Ox529L._AC_UL320_.jpg,https://www.amazon.in/uppercase-13500EHT1TBL-Hardsided-Printed-Suitcase/dp/B0BW3R9KRJ/ref=sr_1_658?qid=1679218890&s=luggage&sr=1-658,,,"₹9,200","₹12,500"
Delsey Polycarbonate 55 cms Light Blue Hardsided Cabin Luggage (Comete),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51qA5xljuAL._AC_UL320_.jpg,https://www.amazon.in/Delsey-Comete-Polycarbonate-Wheels-Suitcase/dp/B07N7FQMGK/ref=sr_1_659?qid=1679218890&s=luggage&sr=1-659,4.4,60,"₹6,800","₹13,600"
Nasher Miles Rome Expander|Hard Side| Check-in Luggage| Navy Blue 24 Inch/65CM Trolley/Travel/Tourist Bag,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/61Jyoi-sxuL._AC_UL320_.jpg,https://www.amazon.in/Nasher-Miles-Rome-Navy-Blue/dp/B079GXT4BN/ref=sr_1_660?qid=1679218890&s=luggage&sr=1-660,3.8,105,"₹2,949","₹14,995"
ZEELIER Overnighter Trolley Leather Unisex Wheel Duffel Bag for Travel 4 Wheels (Brown),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/612RPAe7fKL._AC_UL320_.jpg,https://www.amazon.in/ZEELIER-Overnighter-Trolley-Leather-Unisex/dp/B0BS9M7W2Z/ref=sr_1_661?qid=1679218890&s=luggage&sr=1-661,,,,
Verage Nevada 80 cm Soft-Sided Large Check-in Size Expandable Suitcase 8 Wheel Spinner Luggage Trolley Bag (VRNVD1-28-TL),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/915UxEn0gHL._AC_UL320_.jpg,https://www.amazon.in/Verage-Soft-Sided-Expandable-Suitcase-VRNVD1-28-TL/dp/B0BMVPMLMH/ref=sr_1_662?qid=1679218890&s=luggage&sr=1-662,4.6,3,,
Nasher Miles Lisbon Polypropylene 75 cms Burgundy Hardsided Check-in Luggage (NM 10312 Lisbon Burgundy 28),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51DkqtbuiXL._AC_UL320_.jpg,https://www.amazon.in/Nasher-Miles-Lisbon-Burgundy-10312/dp/B07S42752G/ref=sr_1_663?qid=1679218890&s=luggage&sr=1-663,3.7,80,"₹3,999","₹16,995"
DPARANI Polycarbonate Hard 21 inch suitcase(dparanibr2_pink),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51tTzCL62WL._AC_UL320_.jpg,https://www.amazon.in/DPARANI-Polycarbonate-Hard-Case-Cartoon-Suitcase/dp/B09T98GPC9/ref=sr_1_664?qid=1679218890&s=luggage&sr=1-664,3.8,9,"₹2,660","₹6,999"
Nasher Miles Lisbon Polypropylene 55 cms Dark Blue Hardsided Cabin Luggage (NM 10312 Lisbon Dark Blue 20),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/510D6btV9JL._AC_UL320_.jpg,https://www.amazon.in/Nasher-Miles-Lisbon-Dark-10312/dp/B07S5463XV/ref=sr_1_665?qid=1679218890&s=luggage&sr=1-665,4.0,65,"₹2,199","₹9,995"
TREKKER Polyester 42.5 cms Red Softsided Cabin Luggage (Cko-N22RED),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/A1uPXnq8cwL._AC_UL320_.jpg,https://www.amazon.in/TREKKER-Polyester-42-5cm-Sided-Suitcase/dp/B074J99D15/ref=sr_1_666?qid=1679218890&s=luggage&sr=1-666,3.8,19,"₹1,199","₹1,999"
Hidesign Brown Unisex Trolley Bag,bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/510MKZHb+bL._AC_UL320_.jpg,https://www.amazon.in/Hidesign-Brown-Unisex-Trolley-Bag/dp/B09TKLF66P/ref=sr_1_667?qid=1679218890&s=luggage&sr=1-667,,,"₹25,594","₹32,054"
"Genie Diana Trolley Bag Medium Size, 66 cms Spearmint Hard Side Travel Bag for Women, 8 Wheel Luggage Suitcase for Travell...",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/51GGQcQIyKL._AC_UL320_.jpg,https://www.amazon.in/Genie-Spearmint-Suitcase-Travelling-Resistant/dp/B0BR5BTVCY/ref=sr_1_668?qid=1679218890&s=luggage&sr=1-668,,,"₹3,399","₹8,500"
American Tourister ABS Hard 6 inch HANDBAG(DD_3669_Burgundy),bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/41ZtHq-rTGL._AC_UL320_.jpg,https://www.amazon.in/American-Tourister-Voyager-Burgundy-Briefcase/dp/B079WL7R6N/ref=sr_1_669?qid=1679218890&s=luggage&sr=1-669,3.7,40,"₹2,858","₹3,050"
"VIP Unisex Zip Closure Soft Trolley (FS0151VIPVANG82001,Coral,82)",bags & luggage,Suitcases & Trolley Bags,https://m.media-amazon.com/images/I/61BsnJ1waeL._AC_UL320_.jpg,https://www.amazon.in/VIP-Unisex-Closure-Trolley-FS0151VIPVANG82001/dp/B09ZJ69BCJ/ref=sr_1_670?qid=1679218890&s=luggage&sr=1-670,,,"₹7,505","₹15,010"
