name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Cetaphil Moisturising Cream for Face & Body , Dry to very dry skin, 80 gm",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/61pK4c7UNiL._AC_UL320_.jpg,https://www.amazon.in/Cetaphil-Moisturising-Cream-80g/dp/B01HMLB0LW/ref=sr_1_97?qid=1679216172&sr=8-97,4.3,"8,442",₹406,₹465
"Minimalist 10% Niacinamide Face Serum for Acne Marks, Blemishes & Oil Balancing with Zinc | Skin Clarifying Anti Acne Seru...",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/61sR7sZoEBL._AC_UL320_.jpg,https://www.amazon.in/Minimalist-Niacinamide-Blemishes-Balancing-Clarifying/dp/B08F9MF314/ref=sr_1_98?qid=1679216172&sr=8-98,4.2,"11,535",₹569,₹599
"Surf Excel Matic Top Load Liquid Detergent 3.2 L Refill, Designed for Tough Stain Removal on Laundry in Washing Machines -...",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/61KFEAQk4GL._AC_UL320_.jpg,https://www.amazon.in/Surf-Excel-Detergent-Designed-Machines/dp/B0BHJ1HVTH/ref=sr_1_99?qid=1679216172&sr=8-99,4.5,450,₹550,₹700
"Mee Mee Caring Baby Wet Wipes with lid, 72 Pcs (Aloe Vera, Pack of 3)",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/61Tp3OSU9sL._AC_UL320_.jpg,https://www.amazon.in/Mee-Caring-Baby-Wipes-Free/dp/B07X34F9MF/ref=sr_1_100?qid=1679216172&sr=8-100,4.4,"74,166",₹225,₹297
"Himalaya Baby Cream, Face Moisturizer & Day Cream, For Dry Skin 200ml",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/51uU0AFPIsL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Baby-Cream-200ml/dp/B00QGEN6C8/ref=sr_1_101?qid=1679216172&sr=8-101,4.4,"31,712",₹189,₹260
"Dabur Honey :100% Pure World's No.1 Honey Brand with No Sugar Adulteration , Squeezy Pack - 400g (Buy 1 Get 1 Free)",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/815Eav5ouyS._AC_UL320_.jpg,https://www.amazon.in/Dabur-100-Pure-Honey-Squeezy/dp/B073YSQ927/ref=sr_1_102?qid=1679216172&sr=8-102,4.3,"42,992",,₹300
Happilo Premium Seedless Green Raisins 500g Value Pack| Kishmish | Nutritious| Rich in Iron,beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/81g2WDX2zNL._AC_UL320_.jpg,https://www.amazon.in/Happilo-Premium-Seedless-Green-Raisins/dp/B08487YGZQ/ref=sr_1_103?qid=1679216172&sr=8-103,4.2,"4,224",₹195,₹325
Plum 15% Vitamin C Face Serum with Mandarin | Serum for Face Glowing and Whitening | with Pure Ethyl Ascorbic Acid for Hyp...,beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/517GXTs8E3L._AC_UL320_.jpg,https://www.amazon.in/Plum-Mandarin-Ascorbic-Hyperpigmentation-Fragrance-Free/dp/B095PRGHDX/ref=sr_1_104?qid=1679216172&sr=8-104,4.1,"6,720",₹470,₹550
"L'Oréal Paris Shampoo, For Damaged and Weak Hair, With Pro-Keratin + Ceramide, Total Repair 5, 1ltr",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/413EKfEq0QL._AC_UL320_.jpg,https://www.amazon.in/LOreal-Paris-Total-Repair-Shampoo/dp/B08CSHBPD5/ref=sr_1_105?qid=1679216172&sr=8-105,4.3,"39,863",₹605,"₹1,099"
Ariel Matic Liquid Detergent Front Load 2 Ltr + 500ml Free,beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/61EEVNqvYWL._AC_UL320_.jpg,https://www.amazon.in/Ariel-Matic-Front-Liquid-Detergent/dp/B08Z47FLC8/ref=sr_1_106?qid=1679216172&sr=8-106,4.4,"12,655",₹550.55,₹605
Sebamed Baby Body Lotion 400 ml|Ph 5.5|Camomile & Allantoin| Dermatalogically tested| Sensitive skin,beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/71CcOCW2y8L._AC_UL320_.jpg,https://www.amazon.in/SebaMed-Sebamed-Baby-Lotion-400ml/dp/B00VEEHIEM/ref=sr_1_107?qid=1679216172&sr=8-107,4.5,"10,893","₹1,040","₹1,300"
"Supples Baby Wet Wipes with Aloe Vera and Vitamin E - 72 Wipes/Pack, (Pack of 3)",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/71b89yjg-FL._AC_UL320_.jpg,https://www.amazon.in/Supples-Baby-Wipes-Aloe-Vitamin/dp/B07QSLRRWS/ref=sr_1_108?qid=1679216172&sr=8-108,4.4,"59,138",₹189,₹378
Mee Mee Baby Gentle Wet Wipes with Aloe Vera extracts |72 pcs| Pack of 5,beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/71Z3CIEqbvL._AC_UL320_.jpg,https://www.amazon.in/Mee-Caring-Baby-Wipes-Aloe/dp/B0742BRWS2/ref=sr_1_109?qid=1679216172&sr=8-109,4.4,"74,166",₹341,₹645
"MamyPoko Pants Extra Absorb S102, Unisex Baby, Pack of 102, 4-8 Kg",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/71bs7ylsulL._AC_UL320_.jpg,https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-S102/dp/B0B8HFW4N3/ref=sr_1_110?qid=1679216172&sr=8-110,4.3,"155,343",₹929,"₹1,499"
"Nestle CEREGROW Growing Up Cereal - Multigrain Cereal with Milk & Fruits - Box, 300g",beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/61ejYZWWIYL._AC_UL320_.jpg,https://www.amazon.in/Nestle-CEREGROW-Growing-Multigrain-Cereal/dp/B099WHYS6D/ref=sr_1_111?qid=1679216172&sr=8-111,4.5,"5,409",₹290,₹310
True Elements Chia Seeds 150g - Non-GMO and Fibre Rich Seeds | Omega-3 Seeds for Eating | Healthy Snacks,beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/61ZsHU5URML._AC_UL320_.jpg,https://www.amazon.in/True-Elements-Chia-Seeds-150g/dp/B013SRPYSY/ref=sr_1_112?qid=1679216172&sr=8-112,4.3,"4,575",₹116,₹175
Biotique Papaya Deep Cleanse Face Wash For Visibly Glowing Skin All Skin Types 2x100ml,beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/712mzN6txEL._AC_UL320_.jpg,https://www.amazon.in/Biotique-Visible-Ageless-Papaya-Scrub/dp/B07DPRHCH5/ref=sr_1_113?qid=1679216172&sr=8-113,4.2,"22,740",₹150,₹250
Surf Excel Matic Front Load Detergent Washing Powder 6 kg,beauty & health,Value Bazaar,https://m.media-amazon.com/images/I/614T3QbIZNL._AC_UL320_.jpg,https://www.amazon.in/Surf-Excel-Matic-Detergent-Powder/dp/B07F9X4S5T/ref=sr_1_114?qid=1679216172&sr=8-114,4.4,"7,741",,"₹1,240"
