name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Samsung 7 kg Fully-Automatic Top Loading Washing Machine (WA70A4002GS/TL, Imperial Silver, Diamond drum)",appliances,Washing Machines,https://m.media-amazon.com/images/I/510mV2GAtkL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Fully-Automatic-WA70A4002GS-TL-Imperial/dp/B08GXYZFNB/ref=sr_1_4?qid=1679134388&s=kitchen&sr=1-4,4.4,"24,086","₹15,790","₹21,000"
"Samsung 7 Kg Inverter 5 Star Fully-Automatic Top Load Eco Bubble Washing Machine (WA70BG4441YYTL, Bubble Storm Technology,...",appliances,Washing Machines,https://m.media-amazon.com/images/I/61Ct6+KF4AL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WA70BG4441YYTL-Technology/dp/B0B8NHX62W/ref=sr_1_5?qid=1679134388&s=kitchen&sr=1-5,4.2,"3,715","₹17,990","₹22,500"
"Samsung 6.5 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (WA65T4262FS/TL , Silver, Wobble technology)",appliances,Washing Machines,https://m.media-amazon.com/images/I/61Mt19diw9L._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WA65T4262FS-technology/dp/B09QD2FZCH/ref=sr_1_6?qid=1679134388&s=kitchen&sr=1-6,4.3,"7,594","₹16,990","₹23,900"
"LG 7 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T70SKSF1Z, Middle Free Silver, Smart Motion & TurboDrum)",appliances,Washing Machines,https://m.media-amazon.com/images/I/71xTwKIBX-L._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Fully-Automatic-Loading-T70SKSF1Z/dp/B08DF1Y7T7/ref=sr_1_7?qid=1679134388&s=kitchen&sr=1-7,4.3,"13,541","₹17,490","₹27,990"
"Samsung 7.0 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WT70M3000UU/TL, LIGHT GRAY, Double Storm Pulsator)",appliances,Washing Machines,https://m.media-amazon.com/images/I/71StafL7njL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Semi-Automatic-WT70M3000UU-TL-Pulsator/dp/B09T6NH99B/ref=sr_1_8?qid=1679134388&s=kitchen&sr=1-8,4.2,852,"₹10,890","₹13,500"
"Samsung 6.0 Kg Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW60R20GLMA/TL, White, Hygiene Steam)",appliances,Washing Machines,https://m.media-amazon.com/images/I/71zBUvib7WL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Fully-Automatic-Loading-WW60R20GLMA-TL/dp/B084LGQKD7/ref=sr_1_9?qid=1679134388&s=kitchen&sr=1-9,4.4,"6,743","₹22,990","₹26,900"
"LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Wind Jet Dry)",appliances,Washing Machines,https://m.media-amazon.com/images/I/61xtcXJfYaL._AC_UL320_.jpg,https://www.amazon.in/LG-P7020NGAZ-Fully-Automatic-Washing-Machine/dp/B09DD573SY/ref=sr_1_10?qid=1679134388&s=kitchen&sr=1-10,4.3,"4,526","₹12,490","₹16,090"
"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash)",appliances,Washing Machines,https://m.media-amazon.com/images/I/41h+ARl935L._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Fully-Automatic-WHITEMAGIC-ROYAL-7-0/dp/B08QP41KBP/ref=sr_1_11?qid=1679134388&s=kitchen&sr=1-11,4.2,"1,902","₹15,240","₹18,950"
"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5 GENX, Grey, Hard Water Wash)",appliances,Washing Machines,https://m.media-amazon.com/images/I/41fM+QFtaQL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-6-5-Fully-Automatic-WHITEMAGIC-ROYAL/dp/B08QNZTQ96/ref=sr_1_12?qid=1679134388&s=kitchen&sr=1-12,4.2,"2,905","₹14,490","₹18,450"
"Whirlpool 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 70I Grey Dazzle, TurboScrub Technology)",appliances,Washing Machines,https://m.media-amazon.com/images/I/51TGSdVI1aL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-SUPERB-ATOM-GREY-DAZZLE/dp/B07WGD8QQT/ref=sr_1_16?qid=1679134388&s=kitchen&sr=1-16,4.3,"10,025","₹10,240","₹12,600"
